Family,Claude Sonnet 4.5,GPT-4.1,GPT-4o,Gemini 2.5 Pro
bandpass_response,13.333333333333334,15.0,6.666666666666667,23.333333333333332
bode_magnitude,71.66666666666667,90.0,66.66666666666666,86.66666666666667
bode_phase,36.666666666666664,60.0,28.333333333333332,61.66666666666667
fft_spectrum,50.0,45.0,25.0,46.666666666666664
iv_diode,83.33333333333334,86.66666666666667,76.66666666666667,85.0
iv_resistor,100.0,100.0,100.0,100.0
pole_zero,85.83333333333333,95.83333333333334,51.66666666666667,92.5
pump_curve,100.0,100.0,50.0,96.66666666666667
sn_curve,100.0,96.66666666666667,55.00000000000001,95.0
spectrogram,85.55555555555556,76.66666666666667,47.77777777777778,82.22222222222221
step_response,82.22222222222221,96.66666666666667,57.77777777777777,95.55555555555556
stress_strain,90.0,97.77777777777777,86.66666666666667,100.0
time_waveform,85.0,73.33333333333333,71.66666666666667,86.66666666666667
torque_speed,100.0,100.0,78.33333333333333,91.66666666666666
transfer_characteristic,73.33333333333333,76.66666666666667,68.33333333333333,88.33333333333333
