Model,Rank,Family,Pass Rate
Claude Sonnet 4.5,1,bandpass_response,10.666666666666664
Claude Sonnet 4.5,2,fft_spectrum,33.33333333333333
Claude Sonnet 4.5,3,bode_phase,56.66666666666668
Claude Sonnet 4.5,4,transfer_characteristic,78.88888888888889
Claude Sonnet 4.5,5,stress_strain,80.66666666666666
Gemini 2.5 Pro,1,bandpass_response,22.666666666666664
Gemini 2.5 Pro,2,fft_spectrum,31.11111111111111
Gemini 2.5 Pro,3,spectrogram,69.16666666666667
Gemini 2.5 Pro,4,bode_phase,74.44444444444444
Gemini 2.5 Pro,5,iv_diode,85.0
GPT-4.1,1,bandpass_response,17.333333333333332
GPT-4.1,2,fft_spectrum,31.111111111111107
GPT-4.1,3,bode_phase,73.33333333333334
GPT-4.1,4,time_waveform,73.58585858585859
GPT-4.1,5,transfer_characteristic,75.55555555555556
GPT-4o,1,bandpass_response,6.666666666666663
GPT-4o,2,fft_spectrum,16.666666666666664
GPT-4o,3,spectrogram,44.166666666666664
GPT-4o,4,pole_zero,51.66666666666666
GPT-4o,5,bode_phase,52.22222222222223
