id,type,field,ground_truth,baseline_pred,abs_err,rel_err,abs_tol,rel_tol,pass
step_00,step_response,percent_overshoot,24.141,24.14146943966061,0.0004694396606126361,1.9445742123882032e-05,2.0,0.15,True
step_00,step_response,settling_time_s,0.464,0.5341476179946125,0.0701476179946125,0.15118021119528555,0.5,0.35,True
step_01,step_response,percent_overshoot,11.371,11.370970887863582,2.9112136418874002e-05,2.5602089894357578e-06,2.0,0.15,True
step_01,step_response,settling_time_s,0.821,0.9785511965156446,0.15755119651564464,0.1919015791907974,0.5,0.35,True
step_02,step_response,percent_overshoot,54.326,54.326175293394876,0.00017529339487509787,3.226694306135145e-06,2.0,0.15,True
step_02,step_response,settling_time_s,1.175,1.2341339484073404,0.05913394840734032,0.05032676460199176,0.5,0.35,True
step_03,step_response,percent_overshoot,7.021,7.021357385079967,0.0003573850799671874,5.0902304510352855e-05,2.0,0.15,True
step_03,step_response,settling_time_s,1.131,1.1664840592536518,0.035484059253651834,0.03137405769553655,0.5,0.35,True
step_04,step_response,percent_overshoot,3.396,3.396516805939627,0.0005168059396272184,0.00015218078316466975,2.0,0.15,True
step_04,step_response,settling_time_s,0.738,0.6856799051625682,0.05232009483743183,0.07089443744909463,0.5,0.35,True
bode_00,bode_magnitude,dc_gain_db,-2.213,-2.212769455386888,0.00023054461311211583,0.00010417741216091994,0.02,0.01,True
bode_00,bode_magnitude,cutoff_hz,135.29,135.61205232462433,0.3220523246243374,0.0023804591959815024,2.0,0.02,True
bode_01,bode_magnitude,dc_gain_db,2.192,2.192479618508705,0.00047961850870503753,0.00021880406419025434,0.02,0.01,True
bode_01,bode_magnitude,cutoff_hz,183.702,184.139107084004,0.43710708400399767,0.0023794356294650995,2.0,0.02,True
bode_02,bode_magnitude,dc_gain_db,-0.567,-0.5666570918914522,0.000342908108547757,0.0006047762055515997,0.02,0.01,True
bode_02,bode_magnitude,cutoff_hz,251.905,252.5040999945042,0.5990999945042006,0.002378277503440585,2.0,0.02,True
bode_03,bode_magnitude,dc_gain_db,-2.984,-2.984125890434263,0.0001258904342629208,4.218848333207801e-05,0.02,0.01,True
bode_03,bode_magnitude,cutoff_hz,130.704,131.0149664433829,0.31096644338288115,0.0023791654684086265,2.0,0.02,True
bode_04,bode_magnitude,dc_gain_db,0.42,0.4200027830812523,2.783081252288877e-06,6.626383934021136e-06,0.02,0.01,True
bode_04,bode_magnitude,cutoff_hz,192.848,193.30659400247364,0.4585940024736317,0.002378007562814401,2.0,0.02,True
fft_00,fft_spectrum,dominant_frequency_hz,78.677,79.0,0.3229999999999933,0.004105392935673619,2.0,0.02,True
fft_01,fft_spectrum,dominant_frequency_hz,63.785,64.0,0.2150000000000034,0.003370698440072171,2.0,0.02,True
fft_02,fft_spectrum,dominant_frequency_hz,181.009,181.0,0.00899999999998613,4.972128457693336e-05,2.0,0.02,True
fft_03,fft_spectrum,dominant_frequency_hz,114.887,115.0,0.11299999999999955,0.000983575165162286,2.0,0.02,True
fft_04,fft_spectrum,dominant_frequency_hz,109.412,110.0,0.5879999999999939,0.0053741819910064145,2.0,0.02,True
wave_00,time_waveform,frequency_hz,50.0,50.0,0.0,0.0,0.5,0.01,True
wave_00,time_waveform,vpp_v,2.551,2.517910365308571,0.033089634691429115,0.012971240568964764,0.25,0.1,True
wave_01,time_waveform,frequency_hz,60.0,60.0,0.0,0.0,0.5,0.01,True
wave_01,time_waveform,vpp_v,2.257,2.353078066122776,0.09607806612277603,0.04256892606237307,0.25,0.1,True
wave_02,time_waveform,frequency_hz,60.0,60.0,0.0,0.0,0.5,0.01,True
wave_02,time_waveform,vpp_v,2.301,2.0885379256263232,0.21246207437367692,0.09233466943662622,0.25,0.1,True
wave_03,time_waveform,frequency_hz,250.0,250.0,0.0,0.0,0.5,0.01,True
wave_03,time_waveform,vpp_v,3.079,2.9729574178414975,0.10604258215850271,0.034440591802047,0.25,0.1,True
wave_04,time_waveform,frequency_hz,200.0,200.0,0.0,0.0,0.5,0.01,True
wave_04,time_waveform,vpp_v,2.054,2.0296584826198174,0.02434151738018242,0.011850787429494851,0.25,0.1,True
iv_00,iv_curve,turn_on_voltage_v_at_target_i,0.996,0.8717581153617886,0.1242418846382114,0.12474084803033272,0.15,0.2,True
iv_01,iv_curve,resistance_ohm,450.659,450.65902005722563,2.00572256403575e-05,4.450643533216357e-08,2.0,0.02,True
iv_02,iv_curve,resistance_ohm,503.598,503.5977402423061,0.0002597576939251667,5.158036646793011e-07,2.0,0.02,True
iv_03,iv_curve,resistance_ohm,331.29,331.290023465873,2.3465872970973578e-05,7.083181795699713e-08,2.0,0.02,True
iv_04,iv_curve,resistance_ohm,522.348,522.3476530711712,0.0003469288287760719,6.641718332913535e-07,2.0,0.02,True
transfer_00,transfer_characteristic,small_signal_gain,3.643,3.643216538316567,0.00021653831656731626,5.9439559859268806e-05,0.05,0.02,True
transfer_00,transfer_characteristic,saturation_v,4.107,4.107363402377495,0.0003634023774949924,8.848365656074808e-05,0.05,0.02,True
transfer_01,transfer_characteristic,small_signal_gain,4.213,4.213117130698875,0.00011713069887520078,2.7802207186138328e-05,0.05,0.02,True
transfer_01,transfer_characteristic,saturation_v,1.654,1.6536119960906441,0.000388003909355783,0.00023458519308088452,0.05,0.02,True
transfer_02,transfer_characteristic,small_signal_gain,4.192,4.192472608528132,0.0004726085281321346,0.0001127405840009863,0.05,0.02,True
transfer_02,transfer_characteristic,saturation_v,3.255,3.25538656798653,0.00038656798653002866,0.00011876128618434061,0.05,0.02,True
transfer_03,transfer_characteristic,small_signal_gain,3.068,3.0679901592647036,9.840735296418046e-06,3.2075408397712013e-06,0.05,0.02,True
transfer_03,transfer_characteristic,saturation_v,2.707,2.7073471863265963,0.0003471863265964714,0.00012825501536626208,0.05,0.02,True
transfer_04,transfer_characteristic,small_signal_gain,3.215,3.2153740361774723,0.00037403617747244766,0.00011634095722315636,0.05,0.02,True
transfer_04,transfer_characteristic,saturation_v,3.146,3.1464917139466455,0.0004917139466456,0.0001562981394296249,0.05,0.02,True
