provider,model,id,type,field,is_checkpoint,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error
anthropic,claude-sonnet-4-5-20250929,bandpass_response_002,bandpass_response,resonance_hz,False,70.0,68.3,1.7000000000000028,0.024890190336749676,0.0,0.05,True,4.422284126281738,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_002,bandpass_response,bandwidth_hz,False,40.0,8.5,31.5,3.7058823529411766,0.0,0.08,False,4.422284126281738,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_002,bandpass_response,cp_f1_3db_hz,True,50.0,64.2,14.200000000000003,0.22118380062305298,0.0,0.08,False,4.422284126281738,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_002,bandpass_response,cp_f2_3db_hz,True,90.0,72.7,17.299999999999997,0.23796423658872073,0.0,0.08,False,4.422284126281738,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_002,bandpass_response,cp_q_factor,True,1.75,8.0,6.25,0.78125,0.25,0.12,False,4.422284126281738,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_006,bandpass_response,resonance_hz,False,20.0,16.1,3.8999999999999986,0.2422360248447204,0.0,0.05,False,7.537571907043457,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_006,bandpass_response,bandwidth_hz,False,30.0,2.0,28.0,14.0,0.0,0.08,False,7.537571907043457,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_006,bandpass_response,cp_f1_3db_hz,True,10.0,15.1,5.1,0.33774834437086093,0.0,0.08,False,7.537571907043457,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_006,bandpass_response,cp_f2_3db_hz,True,40.0,17.1,22.9,1.3391812865497075,0.0,0.08,False,7.537571907043457,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_006,bandpass_response,cp_q_factor,True,0.667,8.0,7.333,0.916625,0.25,0.12,False,7.537571907043457,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_007,bandpass_response,resonance_hz,False,500.0,577.6,77.60000000000002,0.13434903047091415,0.0,0.05,False,7.538042068481445,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_007,bandpass_response,bandwidth_hz,False,750.0,288.8,461.2,1.5969529085872576,0.0,0.08,False,7.538042068481445,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_007,bandpass_response,cp_f1_3db_hz,True,250.0,451.0,201.0,0.44567627494456763,0.0,0.08,False,7.538042068481445,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_007,bandpass_response,cp_f2_3db_hz,True,1000.0,739.8,260.20000000000005,0.35171668018383356,0.0,0.08,False,7.538042068481445,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_007,bandpass_response,cp_q_factor,True,0.667,2.0,1.333,0.6665,0.25,0.12,False,7.538042068481445,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_005,bandpass_response,resonance_hz,False,25.0,25.0,0.0,0.0,0.0,0.05,True,7.742462873458862,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_005,bandpass_response,bandwidth_hz,False,17.0,2.5,14.5,5.8,0.0,0.08,False,7.742462873458862,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_005,bandpass_response,cp_f1_3db_hz,True,18.0,23.8,5.800000000000001,0.24369747899159666,0.0,0.08,False,7.742462873458862,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_005,bandpass_response,cp_f2_3db_hz,True,35.0,26.3,8.7,0.3307984790874524,0.0,0.08,False,7.742462873458862,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_005,bandpass_response,cp_q_factor,True,1.47,10.0,8.53,0.853,0.25,0.12,False,7.742462873458862,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_008,bandpass_response,resonance_hz,False,250.0,238.1,11.900000000000006,0.04997900041999163,0.0,0.05,True,7.802577018737793,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_008,bandpass_response,bandwidth_hz,False,170.0,47.6,122.4,2.5714285714285716,0.0,0.08,False,7.802577018737793,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_008,bandpass_response,cp_f1_3db_hz,True,180.0,215.5,35.5,0.16473317865429235,0.0,0.08,False,7.802577018737793,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_008,bandpass_response,cp_f2_3db_hz,True,350.0,263.1,86.89999999999998,0.33029266438616484,0.0,0.08,False,7.802577018737793,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_008,bandpass_response,cp_q_factor,True,1.47,5.0,3.5300000000000002,0.7060000000000001,0.25,0.12,False,7.802577018737793,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,resonance_hz,False,200.0,154.1,45.900000000000006,0.2978585334198573,0.0,0.05,False,7.867161989212036,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,bandwidth_hz,False,300.0,19.3,280.7,14.5440414507772,0.0,0.08,False,7.867161989212036,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,cp_f1_3db_hz,True,100.0,144.8,44.80000000000001,0.3093922651933702,0.0,0.08,False,7.867161989212036,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,cp_f2_3db_hz,True,400.0,164.0,236.0,1.4390243902439024,0.0,0.08,False,7.867161989212036,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,cp_q_factor,True,0.667,8.0,7.333,0.916625,0.25,0.12,False,7.867161989212036,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_004,bandpass_response,resonance_hz,False,200.0,197.8,2.1999999999999886,0.011122345803842207,0.0,0.05,True,8.16244912147522,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_004,bandpass_response,bandwidth_hz,False,300.0,24.7,275.3,11.145748987854251,0.0,0.08,False,8.16244912147522,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_004,bandpass_response,cp_f1_3db_hz,True,100.0,185.8,85.80000000000001,0.46178686759956944,0.0,0.08,False,8.16244912147522,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_004,bandpass_response,cp_f2_3db_hz,True,400.0,210.5,189.5,0.9002375296912114,0.0,0.08,False,8.16244912147522,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_004,bandpass_response,cp_q_factor,True,0.667,8.0,7.333,0.916625,0.25,0.12,False,8.16244912147522,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_009,bandpass_response,resonance_hz,False,15.0,14.4,0.5999999999999996,0.041666666666666644,0.0,0.05,True,8.212966203689575,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_009,bandpass_response,bandwidth_hz,False,13.0,4.8,8.2,1.7083333333333333,0.0,0.08,False,8.212966203689575,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_009,bandpass_response,cp_f1_3db_hz,True,10.0,12.2,2.1999999999999993,0.18032786885245897,0.0,0.08,False,8.212966203689575,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_009,bandpass_response,cp_f2_3db_hz,True,23.0,17.0,6.0,0.35294117647058826,0.0,0.08,False,8.212966203689575,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_009,bandpass_response,cp_q_factor,True,1.15,3.0,1.85,0.6166666666666667,0.25,0.12,False,8.212966203689575,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,resonance_hz,False,40.0,48.5,8.5,0.17525773195876287,0.0,0.05,False,8.859173774719238,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,bandwidth_hz,False,23.0,24.2,1.1999999999999993,0.049586776859504106,0.0,0.08,True,8.859173774719238,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,cp_f1_3db_hz,True,30.0,37.9,7.899999999999999,0.20844327176781,0.0,0.08,False,8.859173774719238,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,cp_f2_3db_hz,True,53.0,62.1,9.100000000000001,0.14653784219001612,0.0,0.08,False,8.859173774719238,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,cp_q_factor,True,1.74,2.0,0.26,0.13,0.25,0.12,False,8.859173774719238,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_003,bandpass_response,resonance_hz,False,1000.0,1286.6,286.5999999999999,0.22275765583708995,0.0,0.05,False,9.137731790542603,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_003,bandpass_response,bandwidth_hz,False,730.0,128.7,601.3,4.672105672105672,0.0,0.08,False,9.137731790542603,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_003,bandpass_response,cp_f1_3db_hz,True,700.0,1223.9,523.9000000000001,0.4280578478633876,0.0,0.08,False,9.137731790542603,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_003,bandpass_response,cp_f2_3db_hz,True,1430.0,1352.5,77.5,0.05730129390018484,0.0,0.08,True,9.137731790542603,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_003,bandpass_response,cp_q_factor,True,1.37,10.0,8.629999999999999,0.8629999999999999,0.25,0.12,False,9.137731790542603,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_010,bandpass_response,resonance_hz,False,400.0,434.8,34.80000000000001,0.08003679852805891,0.0,0.05,False,6.843430995941162,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_010,bandpass_response,bandwidth_hz,False,110.0,87.0,23.0,0.26436781609195403,0.0,0.08,False,6.843430995941162,
