provider,model,type,scope,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
anthropic,claude-sonnet-4-5-20250929,bandpass_response,checkpoint,cp_f1_3db_hz,30,0.1,62.470000000000006,22.549999999999997,0.22972342520447678,186.86999999999992,7.1093645095825195
anthropic,claude-sonnet-4-5-20250929,bandpass_response,checkpoint,cp_f2_3db_hz,30,0.13333333333333333,95.17333333333335,32.45,0.3900205549999577,304.1449999999998,7.1093645095825195
anthropic,claude-sonnet-4-5-20250929,bandpass_response,checkpoint,cp_q_factor,30,0.03333333333333333,3.5431999999999997,2.1715,0.6081225,8.192499999999997,7.1093645095825195
anthropic,claude-sonnet-4-5-20250929,bandpass_response,final,bandwidth_hz,30,0.06666666666666667,141.12,48.7,3.3374308396606183,538.2549999999995,7.1093645095825195
anthropic,claude-sonnet-4-5-20250929,bandpass_response,final,resonance_hz,30,0.2,47.910000000000004,19.85000000000001,0.1385146739393461,159.64999999999986,7.1093645095825195
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,checkpoint,cp_mag_at_fc_db,30,0.7666666666666667,0.0,0.0,0.0,0.0,5.62682454586029
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,checkpoint,cp_slope_db_per_decade,30,0.7666666666666667,0.0,0.0,0.0,0.0,5.62682454586029
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,final,cutoff_hz,30,0.3333333333333333,28.391304347826086,10.0,0.2882608695652174,100.0,5.62682454586029
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,final,dc_gain_db,30,0.7666666666666667,0.0,0.0,0.0,0.0,5.62682454586029
anthropic,claude-sonnet-4-5-20250929,bode_phase,checkpoint,cp_phase_deg_at_fc,30,0.36666666666666664,2.5,0.0,0.05555555555555555,13.499999999999979,7.165948589642842
anthropic,claude-sonnet-4-5-20250929,bode_phase,final,cutoff_hz,30,0.2,59.291666666666664,10.0,0.30416666666666664,200.0,7.165948589642842
anthropic,claude-sonnet-4-5-20250929,bode_phase,final,phase_deg_at_fq,30,0.1,14.166666666666666,15.0,0.6077777777777778,30.0,7.165948589642842
anthropic,claude-sonnet-4-5-20250929,fft_spectrum,checkpoint,cp_peak_ratio,30,0.0,1.0,1.0,0.5,1.0,6.400534224510193
anthropic,claude-sonnet-4-5-20250929,fft_spectrum,final,dominant_frequency_hz,30,0.2,8.333333333333334,5.0,0.08680555555555554,20.0,6.400534224510193
anthropic,claude-sonnet-4-5-20250929,fft_spectrum,final,secondary_frequency_hz,30,0.3,6.25,0.0,0.03576388888888889,30.0,6.400534224510193
anthropic,claude-sonnet-4-5-20250929,iv_diode,final,target_current_a,30,0.5333333333333333,0.0,0.0,0.0,0.0,9.290652720133464
anthropic,claude-sonnet-4-5-20250929,iv_diode,final,turn_on_voltage_v_at_target_i,30,0.36666666666666664,0.07812500000000003,0.07,0.13154345654345656,0.155,9.290652720133464
anthropic,claude-sonnet-4-5-20250929,iv_resistor,checkpoint,cp_slope_ohm,30,0.5,0.0,0.0,0.0,0.0,7.598546099662781
anthropic,claude-sonnet-4-5-20250929,iv_resistor,final,resistance_ohm,30,0.5,0.0,0.0,0.0,0.0,7.598546099662781
anthropic,claude-sonnet-4-5-20250929,pole_zero,final,pole_imag,30,0.36666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.22499999999999964,8.19736750125885
anthropic,claude-sonnet-4-5-20250929,pole_zero,final,pole_real,30,0.3,0.25,0.0,0.12152777777777778,1.0,8.19736750125885
anthropic,claude-sonnet-4-5-20250929,pole_zero,final,zero_imag,30,0.3333333333333333,0.08333333333333333,0.0,0.0625,0.5,8.19736750125885
anthropic,claude-sonnet-4-5-20250929,pole_zero,final,zero_real,30,0.36666666666666664,0.08333333333333333,0.0,0.010416666666666666,0.4499999999999993,8.19736750125885
anthropic,claude-sonnet-4-5-20250929,pump_curve,checkpoint,cp_qmax_m3h,30,0.43333333333333335,0.5716505773135535,0.43145750507619596,0.010069586588241863,1.2386001800126094,7.593043494224548
anthropic,claude-sonnet-4-5-20250929,pump_curve,checkpoint,cp_shutoff_head_m,30,0.43333333333333335,0.07692307692307693,0.0,0.0010256410256410256,0.3999999999999986,7.593043494224548
anthropic,claude-sonnet-4-5-20250929,pump_curve,final,head_at_qop_m,30,0.43333333333333335,0.2076923076923079,0.10000000000000142,0.004050285891046548,0.5999999999999943,7.593043494224548
