provider,model,id,type,field,is_checkpoint,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error
anthropic,claude-sonnet-4-5-20250929,bandpass_response_002,bandpass_response,resonance_hz,False,70.0,68.3,1.7000000000000028,0.024890190336749676,0.0,0.05,True,4.479828119277954,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_002,bandpass_response,bandwidth_hz,False,40.0,8.5,31.5,3.7058823529411766,0.0,0.08,False,4.479828119277954,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_002,bandpass_response,cp_f1_3db_hz,True,50.0,64.2,14.200000000000003,0.22118380062305298,0.0,0.08,False,4.479828119277954,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_002,bandpass_response,cp_f2_3db_hz,True,90.0,72.7,17.299999999999997,0.23796423658872073,0.0,0.08,False,4.479828119277954,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_002,bandpass_response,cp_q_factor,True,1.75,8.0,6.25,0.78125,0.25,0.12,False,4.479828119277954,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,resonance_hz,False,200.0,154.1,45.900000000000006,0.2978585334198573,0.0,0.05,False,7.818462133407593,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,bandwidth_hz,False,300.0,19.3,280.7,14.5440414507772,0.0,0.08,False,7.818462133407593,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,cp_f1_3db_hz,True,100.0,144.8,44.80000000000001,0.3093922651933702,0.0,0.08,False,7.818462133407593,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,cp_f2_3db_hz,True,400.0,164.0,236.0,1.4390243902439024,0.0,0.08,False,7.818462133407593,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,cp_q_factor,True,0.667,8.0,7.333,0.916625,0.25,0.12,False,7.818462133407593,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,resonance_hz,False,40.0,48.5,8.5,0.17525773195876287,0.0,0.05,False,8.202984809875488,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,bandwidth_hz,False,23.0,24.2,1.1999999999999993,0.049586776859504106,0.0,0.08,True,8.202984809875488,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,cp_f1_3db_hz,True,30.0,37.9,7.899999999999999,0.20844327176781,0.0,0.08,False,8.202984809875488,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,cp_f2_3db_hz,True,53.0,62.1,9.100000000000001,0.14653784219001612,0.0,0.08,False,8.202984809875488,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,cp_q_factor,True,1.74,2.0,0.26,0.13,0.25,0.12,False,8.202984809875488,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_003,bandpass_response,resonance_hz,False,1000.0,1286.6,286.5999999999999,0.22275765583708995,0.0,0.05,False,8.88464093208313,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_003,bandpass_response,bandwidth_hz,False,730.0,128.7,601.3,4.672105672105672,0.0,0.08,False,8.88464093208313,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_003,bandpass_response,cp_f1_3db_hz,True,700.0,1223.9,523.9000000000001,0.4280578478633876,0.0,0.08,False,8.88464093208313,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_003,bandpass_response,cp_f2_3db_hz,True,1430.0,1352.5,77.5,0.05730129390018484,0.0,0.08,True,8.88464093208313,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_003,bandpass_response,cp_q_factor,True,1.37,10.0,8.629999999999999,0.8629999999999999,0.25,0.12,False,8.88464093208313,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_004,bandpass_response,resonance_hz,False,200.0,197.8,2.1999999999999886,0.011122345803842207,0.0,0.05,True,9.105952024459839,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_004,bandpass_response,bandwidth_hz,False,145.0,24.7,120.3,4.870445344129554,0.0,0.08,False,9.105952024459839,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_004,bandpass_response,cp_f1_3db_hz,True,140.0,185.8,45.80000000000001,0.24650161463939724,0.0,0.08,False,9.105952024459839,
