provider,model,type,scope,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_f1_3db_hz,30,0.0,48.39999999999998,48.39999999999998,0.12051792828685252,48.39999999999998,22.310178248087563
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_f2_3db_hz,30,0.0,94.89999999999998,94.89999999999998,0.20852559876950114,94.89999999999998,22.310178248087563
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_q_factor,30,0.0,3.0,3.0,0.375,3.0,22.310178248087563
gemini,gemini-2.5-pro,bandpass_response,final,bandwidth_hz,30,0.0,46.6,46.6,0.8726591760299626,46.6,22.310178248087563
gemini,gemini-2.5-pro,bandpass_response,final,resonance_hz,30,0.0,72.5,72.5,0.1695906432748538,72.5,22.310178248087563
gemini,gemini-2.5-pro,bode_magnitude,checkpoint,cp_mag_at_fc_db,30,0.36666666666666664,0.0,0.0,0.0,0.0,16.494811431566873
gemini,gemini-2.5-pro,bode_magnitude,checkpoint,cp_slope_db_per_decade,30,0.36666666666666664,0.0,0.0,0.0,0.0,16.494811431566873
gemini,gemini-2.5-pro,bode_magnitude,final,cutoff_hz,30,0.3,1.8181818181818181,0.0,0.03636363636363637,10.0,16.494811431566873
gemini,gemini-2.5-pro,bode_magnitude,final,dc_gain_db,30,0.36666666666666664,0.0,0.0,0.0,0.0,16.494811431566873
gemini,gemini-2.5-pro,bode_phase,checkpoint,cp_phase_deg_at_fc,30,0.7,0.0,0.0,0.0,0.0,14.046431469917298
gemini,gemini-2.5-pro,bode_phase,final,cutoff_hz,30,0.43333333333333335,27.61904761904762,0.0,0.16666666666666666,100.0,14.046431469917298
gemini,gemini-2.5-pro,bode_phase,final,phase_deg_at_fq,30,0.3333333333333333,4.385714285714285,3.3999999999999986,0.15793650793650793,15.0,14.046431469917298
gemini,gemini-2.5-pro,fft_spectrum,checkpoint,cp_peak_ratio,30,0.0,1.0,1.0,0.5,1.0,16.10649646917979
