provider,model,id,type,field,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error,tags
openai,gpt-4.1,step_00,step_response,percent_overshoot,15.0,14.814645,0.1853549999999995,0.012511605914282757,2.5,0.07,True,2.4538159370422363,,
openai,gpt-4.1,step_00,step_response,settling_time_s,0.7,0.463567,0.23643299999999995,0.5100298338751463,0.35,0.2,True,2.4538159370422363,,
openai,gpt-4.1,step_00,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,2.4538159370422363,,
openai,gpt-4.1,step_01,step_response,percent_overshoot,42.0,44.353583,2.3535830000000004,0.053064100819092797,2.5,0.07,True,4.6804039478302,,
openai,gpt-4.1,step_01,step_response,settling_time_s,2.5,2.591974,0.091974,0.03548415223300851,0.35,0.2,True,4.6804039478302,,
openai,gpt-4.1,step_01,step_response,steady_state,1.0,0.989105,0.010894999999999988,0.011015008517801435,0.05,0.02,True,4.6804039478302,,
openai,gpt-4.1,step_02,step_response,percent_overshoot,2.0,2.165505,0.165505,0.07642790018956318,2.5,0.07,True,1.5482439994812012,,
openai,gpt-4.1,step_02,step_response,settling_time_s,1.0,0.638139,0.361861,0.5670567070810592,0.35,0.2,False,1.5482439994812012,,
openai,gpt-4.1,step_02,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,1.5482439994812012,,
openai,gpt-4.1,step_03,step_response,percent_overshoot,12.0,11.331582,0.6684180000000008,0.058987174076841245,2.5,0.07,True,1.7463347911834717,,
openai,gpt-4.1,step_03,step_response,settling_time_s,1.0,0.544984,0.455016,0.8349162544221481,0.35,0.2,False,1.7463347911834717,,
openai,gpt-4.1,step_03,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,1.7463347911834717,,
openai,gpt-4.1,step_04,step_response,percent_overshoot,3.0,2.973941,0.026059000000000054,0.008762446867641306,2.5,0.07,True,1.6616308689117432,,
openai,gpt-4.1,step_04,step_response,settling_time_s,1.0,0.722906,0.27709399999999995,0.3833057133292571,0.35,0.2,True,1.6616308689117432,,
openai,gpt-4.1,step_04,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,1.6616308689117432,,
openai,gpt-4.1,bode_00,bode_magnitude,dc_gain_db,-2.5,-2.945727,0.4457270000000002,0.15131307144212622,0.5,0.03,True,0.9768948554992676,,
openai,gpt-4.1,bode_00,bode_magnitude,cutoff_hz,200.0,254.19113,54.19112999999999,0.21319048386936235,5.0,0.05,False,0.9768948554992676,,
openai,gpt-4.1,bode_01,bode_magnitude,dc_gain_db,2.3,2.3913,0.09130000000000038,0.03818006941830819,0.5,0.03,True,0.9470269680023193,,
