provider,model,id,type,field,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error,tags
openai,gpt-4.1,fft_spectrum_000,fft_spectrum,dominant_frequency_hz,50.0,48.828125,1.171875,0.024,2.0,0.03,True,2.2337708473205566,,
openai,gpt-4.1,fft_spectrum_001,fft_spectrum,dominant_frequency_hz,100.0,78.125,21.875,0.28,2.0,0.03,False,1.708940029144287,,
openai,gpt-4.1,fft_spectrum_002,fft_spectrum,dominant_frequency_hz,240.0,234.375,5.625,0.024,2.0,0.03,True,1.547334909439087,,
openai,gpt-4.1,fft_spectrum_003,fft_spectrum,dominant_frequency_hz,150.0,146.484375,3.515625,0.024,2.0,0.03,True,1.028691291809082,,
openai,gpt-4.1,fft_spectrum_004,fft_spectrum,dominant_frequency_hz,120.0,107.421875,12.578125,0.11709090909090909,2.0,0.03,False,1.6549010276794434,,
openai,gpt-4.1,fft_spectrum_005,fft_spectrum,dominant_frequency_hz,100.0,78.125,21.875,0.28,2.0,0.03,False,0.9229092597961426,,
openai,gpt-4.1,fft_spectrum_006,fft_spectrum,dominant_frequency_hz,180.0,175.78125,4.21875,0.024,2.0,0.03,True,1.1378459930419922,,
openai,gpt-4.1,fft_spectrum_007,fft_spectrum,dominant_frequency_hz,140.0,126.953125,13.046875,0.10276923076923077,2.0,0.03,False,1.3161909580230713,,
openai,gpt-4.1,fft_spectrum_008,fft_spectrum,dominant_frequency_hz,180.0,175.78125,4.21875,0.024,2.0,0.03,True,1.218601942062378,,
openai,gpt-4.1,fft_spectrum_009,fft_spectrum,dominant_frequency_hz,50.0,48.828125,1.171875,0.024,2.0,0.03,True,0.8295421600341797,,
openai,gpt-4.1,fft_spectrum_010,fft_spectrum,dominant_frequency_hz,100.0,87.890625,12.109375,0.13777777777777778,2.0,0.03,False,1.640503168106079,,
openai,gpt-4.1,fft_spectrum_011,fft_spectrum,dominant_frequency_hz,150.0,136.71875,13.28125,0.09714285714285714,2.0,0.03,False,1.3432891368865967,,
openai,gpt-4.1,fft_spectrum_012,fft_spectrum,dominant_frequency_hz,20.0,9.765625,10.234375,1.048,2.0,0.03,False,0.9053487777709961,,
openai,gpt-4.1,fft_spectrum_013,fft_spectrum,dominant_frequency_hz,10.0,9.765625,0.234375,0.024,2.0,0.03,True,0.9467337131500244,,
openai,gpt-4.1,fft_spectrum_014,fft_spectrum,dominant_frequency_hz,50.0,29.296875,20.703125,0.7066666666666667,2.0,0.03,False,0.9452612400054932,,
openai,gpt-4.1,fft_spectrum_015,fft_spectrum,dominant_frequency_hz,100.0,97.65625,2.34375,0.024,2.0,0.03,True,1.7329621315002441,,
openai,gpt-4.1,fft_spectrum_016,fft_spectrum,dominant_frequency_hz,220.0,224.609375,4.609375,0.02052173913043478,2.0,0.03,True,1.0864357948303223,,
openai,gpt-4.1,fft_spectrum_017,fft_spectrum,dominant_frequency_hz,50.0,68.359375,18.359375,0.26857142857142857,2.0,0.03,False,0.9350399971008301,,
openai,gpt-4.1,fft_spectrum_018,fft_spectrum,dominant_frequency_hz,100.0,107.421875,7.421875,0.06909090909090909,2.0,0.03,False,0.9373581409454346,,
openai,gpt-4.1,fft_spectrum_019,fft_spectrum,dominant_frequency_hz,200.0,205.078125,5.078125,0.024761904761904763,2.0,0.03,True,0.9026050567626953,,
