provider,model,id,type,field,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error,tags,difficulty,edge_tag,edge_case,is_checkpoint,fq_hz
openai,gpt-4.1,step_response_000,step_response,percent_overshoot,3.0,3.4085500825128845,0.4085500825128845,0.11986037248180588,2.5,0.07,True,2.9600770473480225,,,,,,False,
openai,gpt-4.1,step_response_000,step_response,settling_time_s,1.7,1.7824827081481993,0.08248270814819936,0.04627405795924365,0.35,0.2,True,2.9600770473480225,,,,,,False,
openai,gpt-4.1,step_response_000,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,2.9600770473480225,,,,,,False,
openai,gpt-4.1,step_response_000,step_response,cp_peak_value,1.03,1.0340855008251288,0.004085500825128818,0.00395083464749179,0.08,0.04,True,2.9600770473480225,,,,,,True,
openai,gpt-4.1,step_response_000,step_response,cp_peak_time_s,1.3,1.4017868979642296,0.10178689796422957,0.07261224806142177,0.2,0.2,True,2.9600770473480225,,,,,,True,
openai,gpt-4.1,step_response_000,step_response,cp_band_upper,1.02,1.02,0.0,0.0,0.05,0.02,True,2.9600770473480225,,,,,,True,
openai,gpt-4.1,step_response_000,step_response,cp_band_lower,0.98,0.98,0.0,0.0,0.05,0.02,True,2.9600770473480225,,,,,,True,
openai,gpt-4.1,step_response_001,step_response,percent_overshoot,4.0,3.6018743803024833,0.3981256196975167,0.11053289972430475,2.5,0.07,True,5.616626977920532,,,,,,False,
openai,gpt-4.1,step_response_001,step_response,settling_time_s,0.7,0.725250278086763,0.025250278086763056,0.034815950920245385,0.35,0.2,True,5.616626977920532,,,,,,False,
openai,gpt-4.1,step_response_001,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,5.616626977920532,,,,,,False,
openai,gpt-4.1,step_response_001,step_response,cp_peak_value,1.04,1.0360187438030248,0.0039812561969752025,0.003842841860525399,0.08,0.04,True,5.616626977920532,,,,,,True,
openai,gpt-4.1,step_response_001,step_response,cp_peak_time_s,0.6,0.5628476084538376,0.037152391546162344,0.06600790513833982,0.2,0.2,True,5.616626977920532,,,,,,True,
openai,gpt-4.1,step_response_001,step_response,cp_band_upper,1.02,1.02,0.0,0.0,0.05,0.02,True,5.616626977920532,,,,,,True,
openai,gpt-4.1,step_response_001,step_response,cp_band_lower,0.98,0.98,0.0,0.0,0.05,0.02,True,5.616626977920532,,,,,,True,
openai,gpt-4.1,step_response_002,step_response,percent_overshoot,20.0,21.62150755990474,1.6215075599047388,0.0749951202714323,2.5,0.07,True,2.389672040939331,,,,,,False,
openai,gpt-4.1,step_response_002,step_response,settling_time_s,3.0,2.569156378462369,0.430843621537631,0.1676984807734784,0.35,0.2,True,2.389672040939331,,,,,,False,
openai,gpt-4.1,step_response_002,step_response,steady_state,3.0,3.0,0.0,0.0,0.05,0.02,True,2.389672040939331,,,,,,False,
openai,gpt-4.1,step_response_002,step_response,cp_peak_value,3.6,3.648645226797142,0.048645226797142005,0.01333240799622599,0.08,0.04,True,2.389672040939331,,,,,,True,
openai,gpt-4.1,step_response_002,step_response,cp_peak_time_s,1.0,1.0704818243593206,0.0704818243593206,0.06584121538121744,0.2,0.2,True,2.389672040939331,,,,,,True,
openai,gpt-4.1,step_response_002,step_response,cp_band_upper,3.06,3.06,0.0,0.0,0.05,0.02,True,2.389672040939331,,,,,,True,
openai,gpt-4.1,step_response_002,step_response,cp_band_lower,2.94,2.94,0.0,0.0,0.05,0.02,True,2.389672040939331,,,,,,True,
openai,gpt-4.1,step_response_003,step_response,percent_overshoot,5.0,3.4596014967418265,1.5403985032581735,0.4452531612987466,2.5,0.07,True,2.325754165649414,,,,,,False,
openai,gpt-4.1,step_response_003,step_response,settling_time_s,1.1,1.096774193548387,0.003225806451613078,0.002941176470588395,0.35,0.2,True,2.325754165649414,,,,,,False,
openai,gpt-4.1,step_response_003,step_response,steady_state,2.0,2.0,0.0,0.0,0.05,0.02,True,2.325754165649414,,,,,,False,
openai,gpt-4.1,step_response_003,step_response,cp_peak_value,2.1,2.0691920299348365,0.03080797006516356,0.01488888881238044,0.08,0.04,True,2.325754165649414,,,,,,True,
openai,gpt-4.1,step_response_003,step_response,cp_peak_time_s,0.85,0.8587319243604005,0.00873192436040049,0.010168393782383472,0.2,0.2,True,2.325754165649414,,,,,,True,
openai,gpt-4.1,step_response_003,step_response,cp_band_upper,2.04,2.04,0.0,0.0,0.05,0.02,True,2.325754165649414,,,,,,True,
openai,gpt-4.1,step_response_003,step_response,cp_band_lower,1.96,1.96,0.0,0.0,0.05,0.02,True,2.325754165649414,,,,,,True,
openai,gpt-4.1,step_response_004,step_response,percent_overshoot,25.0,23.885575487528122,1.114424512471878,0.04665679975153941,2.5,0.07,True,2.3262250423431396,,,,,,False,
openai,gpt-4.1,step_response_004,step_response,settling_time_s,2.0,1.454540848859029,0.545459151140971,0.37500435382673514,0.35,0.2,False,2.3262250423431396,,,,,,False,
openai,gpt-4.1,step_response_004,step_response,steady_state,2.0,2.0,0.0,0.0,0.05,0.02,True,2.3262250423431396,,,,,,False,
openai,gpt-4.1,step_response_004,step_response,cp_peak_value,2.5,2.4777115097505624,0.022288490249437576,0.008995595395882636,0.08,0.04,True,2.3262250423431396,,,,,,True,
openai,gpt-4.1,step_response_004,step_response,cp_peak_time_s,0.7,0.5966585931033976,0.10334140689660232,0.17320023224519926,0.2,0.2,True,2.3262250423431396,,,,,,True,
openai,gpt-4.1,step_response_004,step_response,cp_band_upper,2.04,2.04,0.0,0.0,0.05,0.02,True,2.3262250423431396,,,,,,True,
openai,gpt-4.1,step_response_004,step_response,cp_band_lower,1.96,1.96,0.0,0.0,0.05,0.02,True,2.3262250423431396,,,,,,True,
openai,gpt-4.1,step_response_005,step_response,percent_overshoot,6.0,5.14205887272321,0.8579411272767903,0.1668477838376885,2.5,0.07,True,1.8816120624542236,,,,,,False,
openai,gpt-4.1,step_response_005,step_response,settling_time_s,1.0,0.9187986651835373,0.08120133481646274,0.08837772397094432,0.35,0.2,True,1.8816120624542236,,,,,,False,
openai,gpt-4.1,step_response_005,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,1.8816120624542236,,,,,,False,
openai,gpt-4.1,step_response_005,step_response,cp_peak_value,1.06,1.051420588727232,0.008579411272767956,0.008159828107563999,0.08,0.04,True,1.8816120624542236,,,,,,True,
openai,gpt-4.1,step_response_005,step_response,cp_peak_time_s,0.7,0.660734149054505,0.03926585094549495,0.059427609427609364,0.2,0.2,True,1.8816120624542236,,,,,,True,
openai,gpt-4.1,step_response_005,step_response,cp_band_upper,1.02,1.02,0.0,0.0,0.05,0.02,True,1.8816120624542236,,,,,,True,
openai,gpt-4.1,step_response_005,step_response,cp_band_lower,0.98,0.98,0.0,0.0,0.05,0.02,True,1.8816120624542236,,,,,,True,
openai,gpt-4.1,step_response_006,step_response,percent_overshoot,35.0,34.99415221914557,0.0058477808544310506,0.00016710737319224682,2.5,0.07,True,3.474639892578125,,,,,,False,
openai,gpt-4.1,step_response_006,step_response,settling_time_s,1.2,1.1611081472210052,0.03889185277899476,0.033495461100741114,0.35,0.2,True,3.474639892578125,,,,,,False,
openai,gpt-4.1,step_response_006,step_response,steady_state,2.0,2.0,0.0,0.0,0.05,0.02,True,3.474639892578125,,,,,,False,
openai,gpt-4.1,step_response_006,step_response,cp_peak_value,2.7,2.6998830443829114,0.00011695561708879865,4.331877165276623e-05,0.08,0.04,True,3.474639892578125,,,,,,True,
openai,gpt-4.1,step_response_006,step_response,cp_peak_time_s,0.4,0.3427367422519835,0.05726325774801655,0.16707650709335398,0.2,0.2,True,3.474639892578125,,,,,,True,
openai,gpt-4.1,step_response_006,step_response,cp_band_upper,2.04,2.04,0.0,0.0,0.05,0.02,True,3.474639892578125,,,,,,True,
openai,gpt-4.1,step_response_006,step_response,cp_band_lower,1.96,1.96,0.0,0.0,0.05,0.02,True,3.474639892578125,,,,,,True,
openai,gpt-4.1,step_response_007,step_response,percent_overshoot,37.0,36.32787529704204,0.6721247029579587,0.018501624371428233,2.5,0.07,True,2.241943120956421,,,,,,False,
openai,gpt-4.1,step_response_007,step_response,settling_time_s,1.7,1.3617674583033321,0.33823254169666783,0.24837760634850398,0.35,0.2,True,2.241943120956421,,,,,,False,
openai,gpt-4.1,step_response_007,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,2.241943120956421,,,,,,False,
openai,gpt-4.1,step_response_007,step_response,cp_peak_value,1.37,1.3632787529704204,0.006721247029579658,0.004930207424515983,0.08,0.04,True,2.241943120956421,,,,,,True,
openai,gpt-4.1,step_response_007,step_response,cp_peak_time_s,0.45,0.3995268162790768,0.05047318372092319,0.12633240539645463,0.2,0.2,True,2.241943120956421,,,,,,True,
openai,gpt-4.1,step_response_007,step_response,cp_band_upper,1.02,1.02,0.0,0.0,0.05,0.02,True,2.241943120956421,,,,,,True,
openai,gpt-4.1,step_response_007,step_response,cp_band_lower,0.98,0.98,0.0,0.0,0.05,0.02,True,2.241943120956421,,,,,,True,
openai,gpt-4.1,step_response_008,step_response,percent_overshoot,22.5,20.28650117107422,2.213498828925779,0.10911190698975366,2.5,0.07,True,2.2851157188415527,,,,,,False,
openai,gpt-4.1,step_response_008,step_response,settling_time_s,1.2,1.1568409343715238,0.043159065628476156,0.037307692307692375,0.35,0.2,True,2.2851157188415527,,,,,,False,
openai,gpt-4.1,step_response_008,step_response,steady_state,2.0,2.0,0.0,0.0,0.05,0.02,True,2.2851157188415527,,,,,,False,
openai,gpt-4.1,step_response_008,step_response,cp_peak_value,2.45,2.4057300234214845,0.044269976578515724,0.018401888885085264,0.08,0.04,True,2.2851157188415527,,,,,,True,
openai,gpt-4.1,step_response_008,step_response,cp_peak_time_s,0.5,0.489432703003337,0.010567296996662978,0.021590909090909133,0.2,0.2,True,2.2851157188415527,,,,,,True,
openai,gpt-4.1,step_response_008,step_response,cp_band_upper,2.04,2.04,0.0,0.0,0.05,0.02,True,2.2851157188415527,,,,,,True,
openai,gpt-4.1,step_response_008,step_response,cp_band_lower,1.96,1.96,0.0,0.0,0.05,0.02,True,2.2851157188415527,,,,,,True,
openai,gpt-4.1,step_response_009,step_response,percent_overshoot,7.0,5.422142447364742,1.5778575526352583,0.2910026005314791,2.5,0.07,True,2.3373677730560303,,,,,,False,
openai,gpt-4.1,step_response_009,step_response,settling_time_s,1.2,1.0411568409343714,0.15884315906562851,0.1525641025641026,0.35,0.2,True,2.3373677730560303,,,,,,False,
openai,gpt-4.1,step_response_009,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,2.3373677730560303,,,,,,False,
openai,gpt-4.1,step_response_009,step_response,cp_peak_value,1.07,1.0542214244736474,0.015778575526352645,0.014967041230669909,0.08,0.04,True,2.3373677730560303,,,,,,True,
openai,gpt-4.1,step_response_009,step_response,cp_peak_time_s,0.7,0.743047830923248,0.04304783092324804,0.057934131736526936,0.2,0.2,True,2.3373677730560303,,,,,,True,
openai,gpt-4.1,step_response_009,step_response,cp_band_upper,1.02,1.02,0.0,0.0,0.05,0.02,True,2.3373677730560303,,,,,,True,
openai,gpt-4.1,step_response_009,step_response,cp_band_lower,0.98,0.98,0.0,0.0,0.05,0.02,True,2.3373677730560303,,,,,,True,
openai,gpt-4.1,step_response_010,step_response,percent_overshoot,5.0,1.784442194432767,3.215557805567233,1.8019960610656736,2.5,0.07,False,1.8237619400024414,,,,,,False,
