id,type,field,ground_truth,baseline_pred,abs_err,abs_tol,pass
step_00,step_response,percent_overshoot,14.814645,14.814645,0.0,1e-06,True
step_00,step_response,settling_time_s,0.463567,0.463567,0.0,1e-06,True
step_00,step_response,steady_state,1.0,1.0,0.0,1e-06,True
step_01,step_response,percent_overshoot,44.353583,44.353583,0.0,1e-06,True
step_01,step_response,settling_time_s,2.591974,2.591974,0.0,1e-06,True
step_01,step_response,steady_state,0.989105,0.989105,0.0,1e-06,True
step_02,step_response,percent_overshoot,2.165505,2.165505,0.0,1e-06,True
step_02,step_response,settling_time_s,0.638139,0.638139,0.0,1e-06,True
step_02,step_response,steady_state,1.0,1.0,0.0,1e-06,True
step_03,step_response,percent_overshoot,11.331582,11.331582,0.0,1e-06,True
step_03,step_response,settling_time_s,0.544984,0.544984,0.0,1e-06,True
step_03,step_response,steady_state,1.0,1.0,0.0,1e-06,True
step_04,step_response,percent_overshoot,2.973941,2.973941,0.0,1e-06,True
step_04,step_response,settling_time_s,0.722906,0.722906,0.0,1e-06,True
step_04,step_response,steady_state,1.0,1.0,0.0,1e-06,True
bode_00,bode_magnitude,dc_gain_db,-2.945727,-2.945727,0.0,1e-06,True
bode_00,bode_magnitude,cutoff_hz,254.19113,254.19113,0.0,1e-06,True
bode_01,bode_magnitude,dc_gain_db,2.3913,2.3913,0.0,1e-06,True
bode_01,bode_magnitude,cutoff_hz,316.996483,316.996483,0.0,1e-06,True
bode_02,bode_magnitude,dc_gain_db,0.476445,0.476445,0.0,1e-06,True
bode_02,bode_magnitude,cutoff_hz,95.082175,95.082175,0.0,1e-06,True
bode_03,bode_magnitude,dc_gain_db,0.458386,0.458386,0.0,1e-06,True
bode_03,bode_magnitude,cutoff_hz,238.510773,238.510773,0.0,1e-06,True
bode_04,bode_magnitude,dc_gain_db,-1.847284,-1.847284,0.0,1e-06,True
bode_04,bode_magnitude,cutoff_hz,213.943745,213.943745,0.0,1e-06,True
fft_00,fft_spectrum,dominant_frequency_hz,51.094891,51.094891,0.0,1e-06,True
fft_01,fft_spectrum,dominant_frequency_hz,94.0,94.0,0.0,1e-06,True
fft_02,fft_spectrum,dominant_frequency_hz,21.152443,21.152443,0.0,1e-06,True
fft_03,fft_spectrum,dominant_frequency_hz,13.133208,13.133208,0.0,1e-06,True
fft_04,fft_spectrum,dominant_frequency_hz,153.964588,153.964588,0.0,1e-06,True
wave_00,time_waveform,frequency_hz,60.0,60.0,0.0,1e-06,True
wave_00,time_waveform,vpp_v,2.200578,2.200578,0.0,1e-06,True
wave_01,time_waveform,frequency_hz,60.0,60.0,0.0,1e-06,True
wave_01,time_waveform,vpp_v,3.198674,3.198674,0.0,1e-06,True
wave_02,time_waveform,frequency_hz,60.0,60.0,0.0,1e-06,True
wave_02,time_waveform,vpp_v,2.684174,2.684174,0.0,1e-06,True
wave_03,time_waveform,frequency_hz,200.0,200.0,0.0,1e-06,True
wave_03,time_waveform,vpp_v,4.423759,4.423759,0.0,1e-06,True
wave_04,time_waveform,frequency_hz,200.0,200.0,0.0,1e-06,True
wave_04,time_waveform,vpp_v,2.670841,2.670841,0.0,1e-06,True
iv_00,iv_curve,turn_on_voltage_v_at_target_i,1.038721,1.038721,0.0,1e-06,True
iv_00,iv_curve,target_current_a,0.001,0.001,0.0,1e-06,True
iv_01,iv_curve,turn_on_voltage_v_at_target_i,1.140927,1.140927,0.0,1e-06,True
iv_01,iv_curve,target_current_a,0.001,0.001,0.0,1e-06,True
iv_02,iv_curve,turn_on_voltage_v_at_target_i,0.912157,0.912157,0.0,1e-06,True
iv_02,iv_curve,target_current_a,0.001,0.001,0.0,1e-06,True
iv_03,iv_curve,turn_on_voltage_v_at_target_i,0.702369,0.702369,0.0,1e-06,True
iv_03,iv_curve,target_current_a,0.001,0.001,0.0,1e-06,True
iv_04,iv_curve,resistance_ohm,176.986569,176.986569,0.0,1e-06,True
transfer_00,transfer_characteristic,small_signal_gain,3.326742,3.326742,0.0,1e-06,True
transfer_00,transfer_characteristic,saturation_v,2.752665,2.752665,0.0,1e-06,True
transfer_01,transfer_characteristic,small_signal_gain,2.105258,2.105258,0.0,1e-06,True
transfer_01,transfer_characteristic,saturation_v,4.28991,4.28991,0.0,1e-06,True
transfer_02,transfer_characteristic,small_signal_gain,4.506082,4.506082,0.0,1e-06,True
transfer_02,transfer_characteristic,saturation_v,2.135712,2.135712,0.0,1e-06,True
transfer_03,transfer_characteristic,small_signal_gain,1.640479,1.640479,0.0,1e-06,True
transfer_03,transfer_characteristic,saturation_v,1.354214,1.354214,0.0,1e-06,True
transfer_04,transfer_characteristic,small_signal_gain,2.168063,2.168063,0.0,1e-06,True
transfer_04,transfer_characteristic,saturation_v,4.244935,4.244935,0.0,1e-06,True
