provider,model,id,type,field,is_checkpoint,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error
anthropic,claude-sonnet-4-5-20250929,step_response_000,step_response,percent_overshoot,False,53.0,52.4,0.6000000000000014,0.0114503816793893,2.5,0.07,True,4.05639910697937,
anthropic,claude-sonnet-4-5-20250929,step_response_000,step_response,settling_time_s,False,5.5,4.95,0.5499999999999998,0.111111111111111,0.35,0.2,True,4.05639910697937,
anthropic,claude-sonnet-4-5-20250929,step_response_000,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,4.05639910697937,
anthropic,claude-sonnet-4-5-20250929,step_response_000,step_response,cp_peak_time_s,True,0.8,0.8,0.0,0.0,0.1,0.2,True,4.05639910697937,
anthropic,claude-sonnet-4-5-20250929,step_response_000,step_response,cp_peak_value,True,1.53,1.53,0.0,0.0,0.08,0.1,True,4.05639910697937,
anthropic,claude-sonnet-4-5-20250929,step_response_000,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,4.05639910697937,
anthropic,claude-sonnet-4-5-20250929,step_response_000,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,4.05639910697937,
anthropic,claude-sonnet-4-5-20250929,step_response_001,step_response,percent_overshoot,False,53.0,52.4,0.6000000000000014,0.0114503816793893,2.5,0.07,True,3.768800020217895,
anthropic,claude-sonnet-4-5-20250929,step_response_001,step_response,settling_time_s,False,2.0,1.65,0.3500000000000001,0.2121212121212121,0.35,0.2,False,3.768800020217895,
anthropic,claude-sonnet-4-5-20250929,step_response_001,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,3.768800020217895,
anthropic,claude-sonnet-4-5-20250929,step_response_001,step_response,cp_peak_time_s,True,0.3,0.27,0.0299999999999999,0.111111111111111,0.1,0.2,True,3.768800020217895,
anthropic,claude-sonnet-4-5-20250929,step_response_001,step_response,cp_peak_value,True,1.53,1.53,0.0,0.0,0.08,0.1,True,3.768800020217895,
anthropic,claude-sonnet-4-5-20250929,step_response_001,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,3.768800020217895,
anthropic,claude-sonnet-4-5-20250929,step_response_001,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,3.768800020217895,
anthropic,claude-sonnet-4-5-20250929,step_response_002,step_response,percent_overshoot,False,25.0,25.6,0.6000000000000014,0.0234375,2.5,0.07,True,3.885003089904785,
anthropic,claude-sonnet-4-5-20250929,step_response_002,step_response,settling_time_s,False,3.0,2.09,0.91,0.4354066985645934,0.35,0.2,False,3.885003089904785,
anthropic,claude-sonnet-4-5-20250929,step_response_002,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,3.885003089904785,
