provider,model,type,scope,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
anthropic,claude-sonnet-4-5-20250929,bandpass_response,checkpoint,cp_f1_3db_hz,30,0.1,111.78928571428571,33.15,3.073239540552077,398.63999999999993,6.944673045476278
anthropic,claude-sonnet-4-5-20250929,bandpass_response,checkpoint,cp_f2_3db_hz,30,0.26666666666666666,116.06428571428572,36.45,0.4372617708282839,343.8349999999998,6.944673045476278
anthropic,claude-sonnet-4-5-20250929,bandpass_response,checkpoint,cp_q_factor,30,0.43333333333333335,0.3705357142857143,0.35250000000000004,0.46107328289005567,0.8290000000000001,6.944673045476278
anthropic,claude-sonnet-4-5-20250929,bandpass_response,final,bandwidth_hz,30,0.13333333333333333,150.57142857142858,38.99999999999999,0.5117107303228422,448.84499999999986,6.944673045476278
anthropic,claude-sonnet-4-5-20250929,bandpass_response,final,resonance_hz,30,0.16666666666666666,50.79642857142858,31.150000000000006,0.1575081078785339,164.74999999999994,6.944673045476278
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,checkpoint,cp_mag_at_fc_db,30,1.0,0.0,0.0,0.0,0.0,5.800798551241557
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,checkpoint,cp_slope_db_per_decade,30,1.0,0.0,0.0,0.0,0.0,5.800798551241557
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,final,cutoff_hz,30,0.4,31.433333333333334,20.0,0.4805,100.0,5.800798551241557
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,final,dc_gain_db,30,1.0,0.0,0.0,0.0,0.0,5.800798551241557
anthropic,claude-sonnet-4-5-20250929,bode_phase,checkpoint,cp_phase_deg_at_fc,30,0.9,1.6896551724137931,0.0,0.037547892720306515,10.799999999999962,4.916820398966471
anthropic,claude-sonnet-4-5-20250929,bode_phase,final,cutoff_hz,30,0.4666666666666667,45.689655172413794,10.0,0.33703448275862063,200.0,4.916820398966471
anthropic,claude-sonnet-4-5-20250929,bode_phase,final,phase_deg_at_fq,30,0.23333333333333334,17.56896551724138,15.0,0.6722222222222222,36.79999999999998,4.916820398966471
anthropic,claude-sonnet-4-5-20250929,fft_spectrum,checkpoint,cp_peak_ratio,30,0.03333333333333333,0.75,1.0,0.375,1.0,4.023255570729574
anthropic,claude-sonnet-4-5-20250929,fft_spectrum,final,dominant_frequency_hz,30,0.36666666666666664,10.666666666666666,10.0,0.23472222222222222,27.749999999999986,4.023255570729574
anthropic,claude-sonnet-4-5-20250929,fft_spectrum,final,secondary_frequency_hz,30,0.7,7.166666666666667,0.0,0.07749999999999999,30.0,4.023255570729574
anthropic,claude-sonnet-4-5-20250929,iv_diode,final,target_current_a,30,0.9333333333333333,0.0,0.0,0.0,0.0,7.8141196966171265
anthropic,claude-sonnet-4-5-20250929,iv_diode,final,turn_on_voltage_v_at_target_i,30,0.5333333333333333,0.09,0.08000000000000002,0.1511762047476333,0.16299999999999992,7.8141196966171265
anthropic,claude-sonnet-4-5-20250929,iv_resistor,checkpoint,cp_slope_ohm,30,0.5333333333333333,0.0,0.0,0.0,0.0,7.517070555686951
anthropic,claude-sonnet-4-5-20250929,iv_resistor,final,resistance_ohm,30,0.5333333333333333,0.0,0.0,0.0,0.0,7.517070555686951
anthropic,claude-sonnet-4-5-20250929,pole_zero,final,pole_imag,30,0.8333333333333334,0.09333333333333332,0.0,0.06833333333333333,0.5,5.874171058336894
anthropic,claude-sonnet-4-5-20250929,pole_zero,final,pole_real,30,0.7666666666666667,0.23333333333333334,0.0,0.10416666666666667,1.0,5.874171058336894
anthropic,claude-sonnet-4-5-20250929,pole_zero,final,zero_imag,30,0.9333333333333333,0.03333333333333333,0.0,0.025,0.2749999999999986,5.874171058336894
anthropic,claude-sonnet-4-5-20250929,pole_zero,final,zero_real,30,0.9333333333333333,0.05,0.0,0.020833333333333332,0.2749999999999986,5.874171058336894
anthropic,claude-sonnet-4-5-20250929,pump_curve,checkpoint,cp_qmax_m3h,30,1.0,0.5768157927665094,0.5025253169416715,0.010426430636508789,1.5033008588991044,6.891156411170959
anthropic,claude-sonnet-4-5-20250929,pump_curve,checkpoint,cp_shutoff_head_m,30,1.0,0.21666666666666667,0.0,0.003196581196581197,1.0,6.891156411170959
anthropic,claude-sonnet-4-5-20250929,pump_curve,final,head_at_qop_m,30,1.0,0.19333333333333394,0.10000000000000142,0.0037423958702400314,0.5999999999999943,6.891156411170959
anthropic,claude-sonnet-4-5-20250929,pump_curve,final,q_at_half_head_m3h,30,1.0,1.0666666666666667,1.0,0.025722906722906724,3.0,6.891156411170959
