provider,model,id,type,field,is_checkpoint,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,resonance_hz,False,200.0,154.1,45.900000000000006,0.2978585334198573,0.0,0.05,False,7.09497594833374,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,bandwidth_hz,False,300.0,19.3,280.7,14.5440414507772,0.0,0.08,False,7.09497594833374,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,cp_f1_3db_hz,True,100.0,144.8,44.80000000000001,0.3093922651933702,0.0,0.08,False,7.09497594833374,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,cp_f2_3db_hz,True,400.0,164.0,236.0,1.4390243902439024,0.0,0.08,False,7.09497594833374,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_000,bandpass_response,cp_q_factor,True,0.667,8.0,7.333,0.916625,0.25,0.12,False,7.09497594833374,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,resonance_hz,False,40.0,48.5,8.5,0.17525773195876287,0.0,0.05,False,7.89096999168396,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,bandwidth_hz,False,23.0,24.2,1.1999999999999993,0.049586776859504106,0.0,0.08,True,7.89096999168396,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,cp_f1_3db_hz,True,30.0,37.9,7.899999999999999,0.20844327176781,0.0,0.08,False,7.89096999168396,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,cp_f2_3db_hz,True,53.0,62.1,9.100000000000001,0.14653784219001612,0.0,0.08,False,7.89096999168396,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_001,bandpass_response,cp_q_factor,True,1.74,2.0,0.26,0.13,0.25,0.12,False,7.89096999168396,
anthropic,claude-sonnet-4-5-20250929,bandpass_response_002,bandpass_response,resonance_hz,False,70.0,68.3,1.7000000000000028,0.024890190336749676,0.0,0.05,True,4.217485189437866,
