provider,model,id,type,field,is_checkpoint,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error
gemini,gemini-2.5-pro,step_response_008,step_response,percent_overshoot,False,25.0,25.6,0.6000000000000014,0.0234375,2.5,0.07,True,22.442885875701904,
gemini,gemini-2.5-pro,step_response_008,step_response,settling_time_s,False,1.3,1.4,0.0999999999999998,0.0714285714285713,0.35,0.2,True,22.442885875701904,
gemini,gemini-2.5-pro,step_response_008,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,22.442885875701904,
gemini,gemini-2.5-pro,step_response_008,step_response,cp_peak_time_s,True,0.62,0.57,0.05,0.0877192982456141,0.1,0.2,True,22.442885875701904,
gemini,gemini-2.5-pro,step_response_008,step_response,cp_peak_value,True,1.25,1.25,0.0,0.0,0.08,0.1,True,22.442885875701904,
gemini,gemini-2.5-pro,step_response_008,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,22.442885875701904,
gemini,gemini-2.5-pro,step_response_008,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,22.442885875701904,
gemini,gemini-2.5-pro,step_response_026,step_response,percent_overshoot,False,38.0,37.6,0.3999999999999986,0.0106382978723403,2.5,0.07,True,23.660876989364624,
gemini,gemini-2.5-pro,step_response_026,step_response,settling_time_s,False,1.1,1.13,0.0299999999999998,0.0265486725663715,0.35,0.2,True,23.660876989364624,
gemini,gemini-2.5-pro,step_response_026,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,23.660876989364624,
gemini,gemini-2.5-pro,step_response_026,step_response,cp_peak_time_s,True,0.35,0.33,0.0199999999999999,0.0606060606060604,0.1,0.2,True,23.660876989364624,
gemini,gemini-2.5-pro,step_response_026,step_response,cp_peak_value,True,1.38,1.37,0.0099999999999997,0.0072992700729925,0.08,0.1,True,23.660876989364624,
gemini,gemini-2.5-pro,step_response_026,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,23.660876989364624,
gemini,gemini-2.5-pro,step_response_026,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,23.660876989364624,
gemini,gemini-2.5-pro,step_response_009,step_response,percent_overshoot,False,25.0,25.6,0.6000000000000014,0.0234375,2.5,0.07,True,24.79676914215088,
gemini,gemini-2.5-pro,step_response_009,step_response,settling_time_s,False,1.3,1.39,0.0899999999999998,0.0647482014388488,0.35,0.2,True,24.79676914215088,
gemini,gemini-2.5-pro,step_response_009,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,24.79676914215088,
gemini,gemini-2.5-pro,step_response_009,step_response,cp_peak_time_s,True,0.6,0.57,0.03,0.0526315789473684,0.1,0.2,True,24.79676914215088,
gemini,gemini-2.5-pro,step_response_009,step_response,cp_peak_value,True,1.25,1.25,0.0,0.0,0.08,0.1,True,24.79676914215088,
gemini,gemini-2.5-pro,step_response_009,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,24.79676914215088,
gemini,gemini-2.5-pro,step_response_009,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,24.79676914215088,
gemini,gemini-2.5-pro,step_response_002,step_response,percent_overshoot,False,26.0,25.6,0.3999999999999986,0.0156249999999999,2.5,0.07,True,24.95610404014587,
gemini,gemini-2.5-pro,step_response_002,step_response,settling_time_s,False,2.3,2.09,0.2099999999999999,0.1004784688995215,0.35,0.2,True,24.95610404014587,
