provider,model,type,scope,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_f1_3db_hz,30,0.03333333333333333,156.02,46.65,4.6359914929881025,468.0599999999998,40.69500461419423
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_f2_3db_hz,30,0.4,51.653333333333336,29.75,0.16725160153642482,214.6649999999998,40.69500461419423
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_q_factor,30,0.26666666666666666,1.2600566666666666,0.98985,1.6302245035832554,3.6679999999999975,40.69500461419423
gemini,gemini-2.5-pro,bandpass_response,final,bandwidth_hz,30,0.06666666666666667,164.00333333333336,97.70000000000002,0.4977226589180378,444.8299999999998,40.69500461419423
gemini,gemini-2.5-pro,bandpass_response,final,resonance_hz,30,0.26666666666666666,38.21666666666667,12.900000000000002,0.12992756932993793,113.24499999999989,40.69500461419423
gemini,gemini-2.5-pro,bode_magnitude,checkpoint,cp_mag_at_fc_db,30,1.0,0.0,0.0,0.0,0.0,21.908851257960002
gemini,gemini-2.5-pro,bode_magnitude,checkpoint,cp_slope_db_per_decade,30,1.0,0.0,0.0,0.0,0.0,21.908851257960002
gemini,gemini-2.5-pro,bode_magnitude,final,cutoff_hz,30,0.8333333333333334,13.886666666666667,0.0,0.107,45.49999999999997,21.908851257960002
gemini,gemini-2.5-pro,bode_magnitude,final,dc_gain_db,30,1.0,0.0,0.0,0.0,0.0,21.908851257960002
gemini,gemini-2.5-pro,bode_phase,checkpoint,cp_phase_deg_at_fc,30,1.0,0.0,0.0,0.0,0.0,19.70394320487976
gemini,gemini-2.5-pro,bode_phase,final,cutoff_hz,30,0.7,21.266666666666666,0.0,0.15,100.0,19.70394320487976
gemini,gemini-2.5-pro,bode_phase,final,phase_deg_at_fq,30,0.5,4.766666666666667,3.5,0.18538888888888888,15.0,19.70394320487976
gemini,gemini-2.5-pro,fft_spectrum,checkpoint,cp_peak_ratio,30,0.0,2.6878551724137933,1.62,0.8076431034482758,4.834,31.99533933798472
gemini,gemini-2.5-pro,fft_spectrum,final,dominant_frequency_hz,30,0.23333333333333334,14.233333333333333,10.0,0.2912777777777778,35.49999999999997,31.99533933798472
gemini,gemini-2.5-pro,fft_spectrum,final,secondary_frequency_hz,30,0.4666666666666667,14.766666666666667,12.5,0.1408888888888889,40.0,31.99533933798472
gemini,gemini-2.5-pro,iv_diode,final,target_current_a,30,1.0,0.0,0.0,0.0,0.0,30.538526209195457
gemini,gemini-2.5-pro,iv_diode,final,turn_on_voltage_v_at_target_i,30,0.7666666666666667,0.060833333333333336,0.05999999999999994,0.10402763902763904,0.12549999999999997,30.538526209195457
gemini,gemini-2.5-pro,iv_resistor,checkpoint,cp_slope_ohm,30,1.0,0.0,0.0,0.0,0.0,9.648286437988281
gemini,gemini-2.5-pro,iv_resistor,final,resistance_ohm,30,1.0,0.0,0.0,0.0,0.0,9.648286437988281
gemini,gemini-2.5-pro,pole_zero,final,pole_imag,30,0.9,0.06666666666666667,0.0,0.05,0.5,9.39481279850006
gemini,gemini-2.5-pro,pole_zero,final,pole_real,30,0.9666666666666667,0.03333333333333333,0.0,0.010416666666666666,0.2749999999999986,9.39481279850006
gemini,gemini-2.5-pro,pole_zero,final,zero_imag,30,0.9,0.03571428571428571,0.0,0.03571428571428571,0.0,9.39481279850006
gemini,gemini-2.5-pro,pole_zero,final,zero_real,30,0.9,0.03571428571428571,0.0,0.0071428571428571435,0.0,9.39481279850006
gemini,gemini-2.5-pro,pump_curve,checkpoint,cp_qmax_m3h,30,1.0,0.4702982521996847,0.39339828220178674,0.010261957167938391,1.3972042044892274,20.36885246435801
gemini,gemini-2.5-pro,pump_curve,checkpoint,cp_shutoff_head_m,30,1.0,0.0,0.0,0.0,0.0,20.36885246435801
gemini,gemini-2.5-pro,pump_curve,final,head_at_qop_m,30,1.0,0.17333333333333462,0.10000000000000142,0.0032946737992813296,0.5099999999999989,20.36885246435801
gemini,gemini-2.5-pro,pump_curve,final,q_at_half_head_m3h,30,1.0,1.2199999999999998,1.0,0.03373413808413808,3.0,20.36885246435801
gemini,gemini-2.5-pro,sn_curve,checkpoint,cp_stress_at_1e3_mpa,30,1.0,2.1666666666666665,0.0,0.0045925925925925926,10.0,19.319375348091125
gemini,gemini-2.5-pro,sn_curve,final,endurance_limit_mpa,30,1.0,0.0,0.0,0.0,0.0,19.319375348091125
gemini,gemini-2.5-pro,sn_curve,final,stress_at_1e5_mpa,30,0.9,16.15,14.0,0.05073949638830115,35.0,19.319375348091125
gemini,gemini-2.5-pro,spectrogram,checkpoint,cp_duration_s,30,0.36666666666666664,1.0910714285714287,1.5,0.5866071428571429,1.95,28.702358905474345
gemini,gemini-2.5-pro,spectrogram,final,f1_hz,30,0.7333333333333333,6.333333333333333,2.5,0.06347222222222222,22.749999999999986,28.702358905474345
gemini,gemini-2.5-pro,spectrogram,final,f2_hz,30,0.7333333333333333,7.566666666666666,0.0,0.0661111111111111,30.0,28.702358905474345
gemini,gemini-2.5-pro,spectrogram,final,switch_time_s,30,1.0,0.0016666666666666644,0.0,0.0020833333333333307,0.0,28.702358905474345
gemini,gemini-2.5-pro,step_response,checkpoint,cp_band_lower,30,1.0,0.0,0.0,0.0,0.0,35.205873521169025
gemini,gemini-2.5-pro,step_response,checkpoint,cp_band_upper,30,1.0,0.0,0.0,0.0,0.0,35.205873521169025
gemini,gemini-2.5-pro,step_response,checkpoint,cp_peak_time_s,30,0.9333333333333333,0.04,0.030000000000000027,0.0795466275491991,0.09649999999999995,35.205873521169025
gemini,gemini-2.5-pro,step_response,checkpoint,cp_peak_value,30,1.0,0.006333333333333317,0.009999999999999787,0.005177500979416841,0.015499999999999986,35.205873521169025
gemini,gemini-2.5-pro,step_response,final,percent_overshoot,30,1.0,0.7000000000000003,0.6000000000000014,0.04944765612311191,1.8199999999999994,35.205873521169025
gemini,gemini-2.5-pro,step_response,final,settling_time_s,30,0.9666666666666667,0.1366666666666666,0.09999999999999987,0.08692753230818603,0.32300000000000006,35.205873521169025
gemini,gemini-2.5-pro,step_response,final,steady_state,30,1.0,0.0,0.0,0.0,0.0,35.205873521169025
gemini,gemini-2.5-pro,stress_strain,checkpoint,cp_uts_strain,30,1.0,0.0011666666666666687,0.0,0.011388888888888908,0.0050000000000000044,19.950953571001687
gemini,gemini-2.5-pro,stress_strain,checkpoint,cp_yield_strain,30,0.16666666666666666,0.0016333333333333334,0.0015,0.9585185185185185,0.0032500000000000003,19.950953571001687
gemini,gemini-2.5-pro,stress_strain,final,fracture_strain,30,0.9666666666666667,0.0025862068965517245,0.0,0.013908045977011493,0.015999999999999976,19.950953571001687
gemini,gemini-2.5-pro,stress_strain,final,uts_mpa,30,1.0,1.1666666666666667,0.0,0.002650793650793651,7.749999999999986,19.950953571001687
