provider,model,id,type,field,is_checkpoint,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error
gemini,gemini-2.5-pro,bandpass_response_004,bandpass_response,resonance_hz,False,,197.8,,,0.0,0.05,False,16.921129941940308,
gemini,gemini-2.5-pro,bandpass_response_004,bandpass_response,bandwidth_hz,False,,24.7,,,0.0,0.08,False,16.921129941940308,
gemini,gemini-2.5-pro,bandpass_response_004,bandpass_response,cp_f1_3db_hz,True,,185.8,,,0.0,0.08,False,16.921129941940308,
gemini,gemini-2.5-pro,bandpass_response_004,bandpass_response,cp_f2_3db_hz,True,,210.5,,,0.0,0.08,False,16.921129941940308,
gemini,gemini-2.5-pro,bandpass_response_004,bandpass_response,cp_q_factor,True,,8.0,,,0.25,0.12,False,16.921129941940308,
gemini,gemini-2.5-pro,bandpass_response_000,bandpass_response,resonance_hz,False,,154.1,,,0.0,0.05,False,16.924824714660645,
gemini,gemini-2.5-pro,bandpass_response_000,bandpass_response,bandwidth_hz,False,,19.3,,,0.0,0.08,False,16.924824714660645,
gemini,gemini-2.5-pro,bandpass_response_000,bandpass_response,cp_f1_3db_hz,True,,144.8,,,0.0,0.08,False,16.924824714660645,
gemini,gemini-2.5-pro,bandpass_response_000,bandpass_response,cp_f2_3db_hz,True,,164.0,,,0.0,0.08,False,16.924824714660645,
gemini,gemini-2.5-pro,bandpass_response_000,bandpass_response,cp_q_factor,True,,8.0,,,0.25,0.12,False,16.924824714660645,
gemini,gemini-2.5-pro,bandpass_response_003,bandpass_response,resonance_hz,False,,1286.6,,,0.0,0.05,False,17.522379875183105,
gemini,gemini-2.5-pro,bandpass_response_003,bandpass_response,bandwidth_hz,False,,128.7,,,0.0,0.08,False,17.522379875183105,
gemini,gemini-2.5-pro,bandpass_response_003,bandpass_response,cp_f1_3db_hz,True,,1223.9,,,0.0,0.08,False,17.522379875183105,
gemini,gemini-2.5-pro,bandpass_response_003,bandpass_response,cp_f2_3db_hz,True,,1352.5,,,0.0,0.08,False,17.522379875183105,
gemini,gemini-2.5-pro,bandpass_response_003,bandpass_response,cp_q_factor,True,,10.0,,,0.25,0.12,False,17.522379875183105,
gemini,gemini-2.5-pro,bandpass_response_001,bandpass_response,resonance_hz,False,,48.5,,,0.0,0.05,False,17.60477900505066,
gemini,gemini-2.5-pro,bandpass_response_001,bandpass_response,bandwidth_hz,False,,24.2,,,0.0,0.08,False,17.60477900505066,
gemini,gemini-2.5-pro,bandpass_response_001,bandpass_response,cp_f1_3db_hz,True,,37.9,,,0.0,0.08,False,17.60477900505066,
