provider,model,type,scope,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_f1_3db_hz,30,0.0,24.99999999999999,24.99999999999999,0.1158145196989818,46.059999999999974,16.17565381526947
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_f2_3db_hz,30,0.0,49.89999999999999,49.89999999999999,0.22615334664843212,90.39999999999998,16.17565381526947
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_q_factor,30,0.0,1.889,1.889,0.3171666666666667,2.8889,16.17565381526947
gemini,gemini-2.5-pro,bandpass_response,final,bandwidth_hz,30,0.0,24.95,24.95,0.7258032722255076,44.435,16.17565381526947
gemini,gemini-2.5-pro,bandpass_response,final,resonance_hz,30,0.0,37.75,37.75,0.17303061575507395,69.02499999999999,16.17565381526947
gemini,gemini-2.5-pro,bode_magnitude,checkpoint,cp_mag_at_fc_db,30,0.4,0.0,0.0,0.0,0.0,15.21381634871165
gemini,gemini-2.5-pro,bode_magnitude,checkpoint,cp_slope_db_per_decade,30,0.4,0.0,0.0,0.0,0.0,15.21381634871165
gemini,gemini-2.5-pro,bode_magnitude,final,cutoff_hz,30,0.36666666666666664,1.25,0.0,0.05833333333333333,7.2499999999999964,15.21381634871165
gemini,gemini-2.5-pro,bode_magnitude,final,dc_gain_db,30,0.4,0.0,0.0,0.0,0.0,15.21381634871165
gemini,gemini-2.5-pro,bode_phase,checkpoint,cp_phase_deg_at_fc,30,0.6,0.0,0.0,0.0,0.0,14.053807576497396
gemini,gemini-2.5-pro,bode_phase,final,cutoff_hz,30,0.4666666666666667,9.444444444444445,0.0,0.12222222222222223,57.49999999999993,14.053807576497396
gemini,gemini-2.5-pro,bode_phase,final,phase_deg_at_fq,30,0.3333333333333333,4.016666666666667,2.0,0.13814814814814816,15.0,14.053807576497396
gemini,gemini-2.5-pro,fft_spectrum,checkpoint,cp_peak_ratio,30,0.0,,,,,16.592182048161824
gemini,gemini-2.5-pro,fft_spectrum,final,dominant_frequency_hz,30,0.0,,,,,16.592182048161824
gemini,gemini-2.5-pro,fft_spectrum,final,secondary_frequency_hz,30,0.0,,,,,16.592182048161824
gemini,gemini-2.5-pro,iv_diode,final,target_current_a,30,0.23333333333333334,0.0,0.0,0.0,0.0,15.982323678334554
gemini,gemini-2.5-pro,iv_diode,final,turn_on_voltage_v_at_target_i,30,0.1,0.08571428571428573,0.09999999999999998,0.1487631416202845,0.10999999999999999,15.982323678334554
gemini,gemini-2.5-pro,iv_resistor,checkpoint,cp_slope_ohm,30,1.0,0.0,0.0,0.0,0.0,12.332539653778076
gemini,gemini-2.5-pro,iv_resistor,final,resistance_ohm,30,1.0,0.0,0.0,0.0,0.0,12.332539653778076
gemini,gemini-2.5-pro,pole_zero,final,pole_imag,30,0.9333333333333333,0.05,0.0,0.041666666666666664,0.2749999999999986,8.04066580136617
gemini,gemini-2.5-pro,pole_zero,final,pole_real,30,1.0,0.0,0.0,0.0,0.0,8.04066580136617
gemini,gemini-2.5-pro,pole_zero,final,zero_imag,30,0.9,0.03571428571428571,0.0,0.03571428571428571,0.0,8.04066580136617
gemini,gemini-2.5-pro,pole_zero,final,zero_real,30,0.8666666666666667,0.05357142857142857,0.0,0.013095238095238096,0.3249999999999993,8.04066580136617
