provider,model,id,type,field,is_checkpoint,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error
gemini,gemini-2.5-pro,bandpass_response_002,bandpass_response,resonance_hz,False,,68.3,,,0.0,0.05,False,15.905379056930542,
gemini,gemini-2.5-pro,bandpass_response_002,bandpass_response,bandwidth_hz,False,,8.5,,,0.0,0.08,False,15.905379056930542,
gemini,gemini-2.5-pro,bandpass_response_002,bandpass_response,cp_f1_3db_hz,True,,64.2,,,0.0,0.08,False,15.905379056930542,
gemini,gemini-2.5-pro,bandpass_response_002,bandpass_response,cp_f2_3db_hz,True,,72.7,,,0.0,0.08,False,15.905379056930542,
gemini,gemini-2.5-pro,bandpass_response_002,bandpass_response,cp_q_factor,True,,8.0,,,0.25,0.12,False,15.905379056930542,
gemini,gemini-2.5-pro,bandpass_response_001,bandpass_response,resonance_hz,False,,48.5,,,0.0,0.05,False,15.987387895584106,
gemini,gemini-2.5-pro,bandpass_response_001,bandpass_response,bandwidth_hz,False,,24.2,,,0.0,0.08,False,15.987387895584106,
gemini,gemini-2.5-pro,bandpass_response_001,bandpass_response,cp_f1_3db_hz,True,,37.9,,,0.0,0.08,False,15.987387895584106,
gemini,gemini-2.5-pro,bandpass_response_001,bandpass_response,cp_f2_3db_hz,True,,62.1,,,0.0,0.08,False,15.987387895584106,
gemini,gemini-2.5-pro,bandpass_response_001,bandpass_response,cp_q_factor,True,,2.0,,,0.25,0.12,False,15.987387895584106,
gemini,gemini-2.5-pro,bandpass_response_004,bandpass_response,resonance_hz,False,,197.8,,,0.0,0.05,False,16.720607042312622,
gemini,gemini-2.5-pro,bandpass_response_004,bandpass_response,bandwidth_hz,False,,24.7,,,0.0,0.08,False,16.720607042312622,
gemini,gemini-2.5-pro,bandpass_response_004,bandpass_response,cp_f1_3db_hz,True,,185.8,,,0.0,0.08,False,16.720607042312622,
gemini,gemini-2.5-pro,bandpass_response_004,bandpass_response,cp_f2_3db_hz,True,,210.5,,,0.0,0.08,False,16.720607042312622,
gemini,gemini-2.5-pro,bandpass_response_004,bandpass_response,cp_q_factor,True,,8.0,,,0.25,0.12,False,16.720607042312622,
gemini,gemini-2.5-pro,bandpass_response_000,bandpass_response,resonance_hz,False,,154.1,,,0.0,0.05,False,16.79023504257202,
gemini,gemini-2.5-pro,bandpass_response_000,bandpass_response,bandwidth_hz,False,,19.3,,,0.0,0.08,False,16.79023504257202,
gemini,gemini-2.5-pro,bandpass_response_000,bandpass_response,cp_f1_3db_hz,True,,144.8,,,0.0,0.08,False,16.79023504257202,
gemini,gemini-2.5-pro,bandpass_response_000,bandpass_response,cp_f2_3db_hz,True,,164.0,,,0.0,0.08,False,16.79023504257202,
gemini,gemini-2.5-pro,bandpass_response_000,bandpass_response,cp_q_factor,True,,8.0,,,0.25,0.12,False,16.79023504257202,
gemini,gemini-2.5-pro,bandpass_response_003,bandpass_response,resonance_hz,False,,1286.6,,,0.0,0.05,False,16.977012872695923,
gemini,gemini-2.5-pro,bandpass_response_003,bandpass_response,bandwidth_hz,False,,128.7,,,0.0,0.08,False,16.977012872695923,
gemini,gemini-2.5-pro,bandpass_response_003,bandpass_response,cp_f1_3db_hz,True,,1223.9,,,0.0,0.08,False,16.977012872695923,
gemini,gemini-2.5-pro,bandpass_response_003,bandpass_response,cp_f2_3db_hz,True,,1352.5,,,0.0,0.08,False,16.977012872695923,
gemini,gemini-2.5-pro,bandpass_response_003,bandpass_response,cp_q_factor,True,,10.0,,,0.25,0.12,False,16.977012872695923,
gemini,gemini-2.5-pro,bandpass_response_005,bandpass_response,resonance_hz,False,,25.0,,,0.0,0.05,False,15.414100885391235,
gemini,gemini-2.5-pro,bandpass_response_005,bandpass_response,bandwidth_hz,False,,2.5,,,0.0,0.08,False,15.414100885391235,
gemini,gemini-2.5-pro,bandpass_response_005,bandpass_response,cp_f1_3db_hz,True,,23.8,,,0.0,0.08,False,15.414100885391235,
gemini,gemini-2.5-pro,bandpass_response_005,bandpass_response,cp_f2_3db_hz,True,,26.3,,,0.0,0.08,False,15.414100885391235,
gemini,gemini-2.5-pro,bandpass_response_005,bandpass_response,cp_q_factor,True,,10.0,,,0.25,0.12,False,15.414100885391235,
gemini,gemini-2.5-pro,bandpass_response_006,bandpass_response,resonance_hz,False,,16.1,,,0.0,0.05,False,15.370228052139282,
