provider,model,type,scope,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_f1_3db_hz,30,0.0,,,,,15.78276879787445
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_f2_3db_hz,30,0.0,,,,,15.78276879787445
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_q_factor,30,0.0,,,,,15.78276879787445
gemini,gemini-2.5-pro,bandpass_response,final,bandwidth_hz,30,0.0,,,,,15.78276879787445
gemini,gemini-2.5-pro,bandpass_response,final,resonance_hz,30,0.0,,,,,15.78276879787445
gemini,gemini-2.5-pro,bode_magnitude,checkpoint,cp_mag_at_fc_db,30,0.5666666666666667,0.0,0.0,0.0,0.0,14.596427114804586
gemini,gemini-2.5-pro,bode_magnitude,checkpoint,cp_slope_db_per_decade,30,0.5666666666666667,0.0,0.0,0.0,0.0,14.596427114804586
gemini,gemini-2.5-pro,bode_magnitude,final,cutoff_hz,30,0.4666666666666667,3.823529411764706,0.0,0.07647058823529412,15.999999999999979,14.596427114804586
gemini,gemini-2.5-pro,bode_magnitude,final,dc_gain_db,30,0.5666666666666667,0.0,0.0,0.0,0.0,14.596427114804586
gemini,gemini-2.5-pro,bode_phase,checkpoint,cp_phase_deg_at_fc,30,0.5666666666666667,0.0,0.0,0.0,0.0,14.326693034172058
gemini,gemini-2.5-pro,bode_phase,final,cutoff_hz,30,0.36666666666666664,21.176470588235293,0.0,0.11764705882352941,100.0,14.326693034172058
gemini,gemini-2.5-pro,bode_phase,final,phase_deg_at_fq,30,0.26666666666666666,3.9470588235294115,3.3999999999999986,0.13745098039215686,12.199999999999998,14.326693034172058
gemini,gemini-2.5-pro,fft_spectrum,checkpoint,cp_peak_ratio,30,0.0,1.0,1.0,0.5,1.0,15.492380833625793
gemini,gemini-2.5-pro,fft_spectrum,final,dominant_frequency_hz,30,0.03333333333333333,0.0,0.0,0.0,0.0,15.492380833625793
gemini,gemini-2.5-pro,fft_spectrum,final,secondary_frequency_hz,30,0.03333333333333333,10.0,10.0,0.041666666666666664,10.0,15.492380833625793
gemini,gemini-2.5-pro,iv_diode,final,target_current_a,30,0.26666666666666666,0.0,0.0,0.0,0.0,15.500684571266174
