provider,model,type,scope,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_f1_3db_hz,30,0.3,30.226666666666674,17.200000000000003,0.11322372139183955,82.63,29.87269687652588
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_f2_3db_hz,30,0.3,55.47333333333334,21.549999999999976,0.16651855224013093,243.10499999999996,29.87269687652588
gemini,gemini-2.5-pro,bandpass_response,checkpoint,cp_q_factor,30,0.06666666666666667,2.4229866666666666,1.923,0.48368561111111114,6.357294999999994,29.87269687652588
gemini,gemini-2.5-pro,bandpass_response,final,bandwidth_hz,30,0.03333333333333333,65.86999999999999,19.1,0.9118765524835605,301.81499999999994,29.87269687652588
gemini,gemini-2.5-pro,bandpass_response,final,resonance_hz,30,0.43333333333333335,25.14,12.550000000000004,0.09911401611055394,86.46999999999991,29.87269687652588
gemini,gemini-2.5-pro,bode_magnitude,checkpoint,cp_mag_at_fc_db,30,0.9666666666666667,0.0,0.0,0.0,0.0,19.07105198701223
gemini,gemini-2.5-pro,bode_magnitude,checkpoint,cp_slope_db_per_decade,30,0.9666666666666667,0.0,0.0,0.0,0.0,19.07105198701223
gemini,gemini-2.5-pro,bode_magnitude,final,cutoff_hz,30,0.7666666666666667,9.482758620689655,0.0,0.11379310344827585,75.99999999999987,19.07105198701223
gemini,gemini-2.5-pro,bode_magnitude,final,dc_gain_db,30,0.9666666666666667,0.0,0.0,0.0,0.0,19.07105198701223
gemini,gemini-2.5-pro,bode_phase,checkpoint,cp_phase_deg_at_fc,30,1.0,0.0,0.0,0.0,0.0,16.549894595146178
gemini,gemini-2.5-pro,bode_phase,final,cutoff_hz,30,0.7,20.533333333333335,0.0,0.13893333333333333,100.0,16.549894595146178
gemini,gemini-2.5-pro,bode_phase,final,phase_deg_at_fq,30,0.5333333333333333,5.4399999999999995,2.6999999999999993,0.2076111111111111,18.64999999999999,16.549894595146178
gemini,gemini-2.5-pro,fft_spectrum,checkpoint,cp_peak_ratio,30,0.0,2.3518133333333333,1.56,0.7213143333333334,4.8222,32.41764287948608
gemini,gemini-2.5-pro,fft_spectrum,final,dominant_frequency_hz,30,0.3333333333333333,12.333333333333334,10.0,0.26666666666666666,40.0,32.41764287948608
gemini,gemini-2.5-pro,fft_spectrum,final,secondary_frequency_hz,30,0.6,11.0,10.0,0.09351851851851851,27.749999999999986,32.41764287948608
gemini,gemini-2.5-pro,iv_diode,final,target_current_a,30,1.0,0.0,0.0,0.0,0.0,28.144847067197166
