provider,model,id,type,field,is_checkpoint,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error
openai,gpt-4.1,step_response_000,step_response,percent_overshoot,False,50.0,52.4,2.3999999999999986,0.045801526717557224,2.5,0.07,True,3.0405352115631104,
openai,gpt-4.1,step_response_000,step_response,settling_time_s,False,5.0,4.95,0.04999999999999982,0.010101010101010065,0.35,0.2,True,3.0405352115631104,
openai,gpt-4.1,step_response_000,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,3.0405352115631104,
openai,gpt-4.1,step_response_000,step_response,cp_peak_time_s,True,0.8,0.8,0.0,0.0,0.1,0.2,True,3.0405352115631104,
openai,gpt-4.1,step_response_000,step_response,cp_peak_value,True,1.5,1.53,0.030000000000000027,0.01960784313725492,0.08,0.1,True,3.0405352115631104,
openai,gpt-4.1,step_response_000,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,3.0405352115631104,
openai,gpt-4.1,step_response_000,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,3.0405352115631104,
openai,gpt-4.1,step_response_001,step_response,percent_overshoot,False,50.0,52.4,2.3999999999999986,0.045801526717557224,2.5,0.07,True,2.5396528244018555,
openai,gpt-4.1,step_response_001,step_response,settling_time_s,False,1.7,1.65,0.050000000000000044,0.03030303030303033,0.35,0.2,True,2.5396528244018555,
openai,gpt-4.1,step_response_001,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,2.5396528244018555,
openai,gpt-4.1,step_response_001,step_response,cp_peak_time_s,True,0.3,0.27,0.02999999999999997,0.111111111111111,0.1,0.2,True,2.5396528244018555,
openai,gpt-4.1,step_response_001,step_response,cp_peak_value,True,1.5,1.53,0.030000000000000027,0.01960784313725492,0.08,0.1,True,2.5396528244018555,
openai,gpt-4.1,step_response_001,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,2.5396528244018555,
openai,gpt-4.1,step_response_001,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,2.5396528244018555,
openai,gpt-4.1,step_response_002,step_response,percent_overshoot,False,25.0,25.6,0.6000000000000014,0.023437500000000056,2.5,0.07,True,3.2716474533081055,
openai,gpt-4.1,step_response_002,step_response,settling_time_s,False,2.7,2.09,0.6100000000000003,0.29186602870813416,0.35,0.2,False,3.2716474533081055,
openai,gpt-4.1,step_response_002,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,3.2716474533081055,
openai,gpt-4.1,step_response_002,step_response,cp_peak_time_s,True,0.85,0.86,0.010000000000000009,0.011627906976744196,0.1,0.2,True,3.2716474533081055,
openai,gpt-4.1,step_response_002,step_response,cp_peak_value,True,1.25,1.25,0.0,0.0,0.08,0.1,True,3.2716474533081055,
openai,gpt-4.1,step_response_002,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,3.2716474533081055,
openai,gpt-4.1,step_response_002,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,3.2716474533081055,
openai,gpt-4.1,step_response_003,step_response,percent_overshoot,False,55.0,52.4,2.6000000000000014,0.04961832061068705,2.5,0.07,True,2.5554869174957275,
openai,gpt-4.1,step_response_003,step_response,settling_time_s,False,1.7,1.65,0.050000000000000044,0.03030303030303033,0.35,0.2,True,2.5554869174957275,
openai,gpt-4.1,step_response_003,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,2.5554869174957275,
openai,gpt-4.1,step_response_003,step_response,cp_peak_time_s,True,0.28,0.27,0.010000000000000009,0.03703703703703707,0.1,0.2,True,2.5554869174957275,
openai,gpt-4.1,step_response_003,step_response,cp_peak_value,True,1.55,1.53,0.020000000000000018,0.013071895424836612,0.08,0.1,True,2.5554869174957275,
openai,gpt-4.1,step_response_003,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,2.5554869174957275,
openai,gpt-4.1,step_response_003,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,2.5554869174957275,
openai,gpt-4.1,step_response_004,step_response,percent_overshoot,False,3.0,4.8,1.7999999999999998,0.375,2.5,0.07,True,2.254487991333008,
openai,gpt-4.1,step_response_004,step_response,settling_time_s,False,0.7,0.61,0.08999999999999997,0.14754098360655732,0.35,0.2,True,2.254487991333008,
openai,gpt-4.1,step_response_004,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,2.254487991333008,
openai,gpt-4.1,step_response_004,step_response,cp_peak_time_s,True,0.4,0.44,0.03999999999999998,0.09090909090909087,0.1,0.2,True,2.254487991333008,
openai,gpt-4.1,step_response_004,step_response,cp_peak_value,True,1.03,1.05,0.020000000000000018,0.019047619047619063,0.08,0.1,True,2.254487991333008,
openai,gpt-4.1,step_response_004,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,2.254487991333008,
openai,gpt-4.1,step_response_004,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,2.254487991333008,
openai,gpt-4.1,step_response_005,step_response,percent_overshoot,False,17.0,16.0,1.0,0.0625,2.5,0.07,True,2.131025791168213,
openai,gpt-4.1,step_response_005,step_response,settling_time_s,False,2.2,2.07,0.13000000000000034,0.06280193236714993,0.35,0.2,True,2.131025791168213,
openai,gpt-4.1,step_response_005,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,2.131025791168213,
openai,gpt-4.1,step_response_005,step_response,cp_peak_time_s,True,0.9,0.91,0.010000000000000009,0.010989010989010999,0.1,0.2,True,2.131025791168213,
openai,gpt-4.1,step_response_005,step_response,cp_peak_value,True,1.17,1.16,0.010000000000000009,0.008620689655172422,0.08,0.1,True,2.131025791168213,
openai,gpt-4.1,step_response_005,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,2.131025791168213,
openai,gpt-4.1,step_response_005,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,2.131025791168213,
openai,gpt-4.1,step_response_006,step_response,percent_overshoot,False,25.0,25.6,0.6000000000000014,0.023437500000000056,2.5,0.07,True,2.1510009765625,
openai,gpt-4.1,step_response_006,step_response,settling_time_s,False,1.4,1.05,0.34999999999999987,0.3333333333333332,0.35,0.2,True,2.1510009765625,
openai,gpt-4.1,step_response_006,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,2.1510009765625,
openai,gpt-4.1,step_response_006,step_response,cp_peak_time_s,True,0.42,0.43,0.010000000000000009,0.023255813953488393,0.1,0.2,True,2.1510009765625,
openai,gpt-4.1,step_response_006,step_response,cp_peak_value,True,1.25,1.25,0.0,0.0,0.08,0.1,True,2.1510009765625,
openai,gpt-4.1,step_response_006,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,2.1510009765625,
openai,gpt-4.1,step_response_006,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,2.1510009765625,
openai,gpt-4.1,step_response_007,step_response,percent_overshoot,False,37.0,37.6,0.6000000000000014,0.015957446808510675,2.5,0.07,True,1.8623359203338623,
openai,gpt-4.1,step_response_007,step_response,settling_time_s,False,3.5,2.83,0.6699999999999999,0.2367491166077738,0.35,0.2,False,1.8623359203338623,
openai,gpt-4.1,step_response_007,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,1.8623359203338623,
openai,gpt-4.1,step_response_007,step_response,cp_peak_time_s,True,0.85,0.82,0.030000000000000027,0.03658536585365857,0.1,0.2,True,1.8623359203338623,
openai,gpt-4.1,step_response_007,step_response,cp_peak_value,True,1.37,1.37,0.0,0.0,0.08,0.1,True,1.8623359203338623,
openai,gpt-4.1,step_response_007,step_response,cp_band_lower,True,0.98,0.98,0.0,0.0,0.08,0.1,True,1.8623359203338623,
openai,gpt-4.1,step_response_007,step_response,cp_band_upper,True,1.02,1.02,0.0,0.0,0.0816,0.1,True,1.8623359203338623,
openai,gpt-4.1,step_response_008,step_response,percent_overshoot,False,25.0,25.6,0.6000000000000014,0.023437500000000056,2.5,0.07,True,1.7418899536132812,
openai,gpt-4.1,step_response_008,step_response,settling_time_s,False,1.5,1.4,0.10000000000000009,0.0714285714285715,0.35,0.2,True,1.7418899536132812,
openai,gpt-4.1,step_response_008,step_response,steady_state,False,1.0,1.0,0.0,0.0,0.05,0.02,True,1.7418899536132812,
openai,gpt-4.1,step_response_008,step_response,cp_peak_time_s,True,0.6,0.57,0.030000000000000027,0.052631578947368474,0.1,0.2,True,1.7418899536132812,
openai,gpt-4.1,step_response_008,step_response,cp_peak_value,True,1.25,1.25,0.0,0.0,0.08,0.1,True,1.7418899536132812,
