provider,model,type,scope,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
openai,gpt-4.1,bandpass_response,checkpoint,cp_f1_3db_hz,30,0.1,62.93333333333333,15.850000000000005,1.3846296962707925,227.49999999999986,1.9959892829259236
openai,gpt-4.1,bandpass_response,checkpoint,cp_f2_3db_hz,30,0.3333333333333333,162.62333333333333,38.25,0.32390690515231346,802.2049999999996,1.9959892829259236
openai,gpt-4.1,bandpass_response,checkpoint,cp_q_factor,30,0.36666666666666664,1.3476666666666666,0.36500000000000005,1.7702783338773451,4.401499999999987,1.9959892829259236
openai,gpt-4.1,bandpass_response,final,bandwidth_hz,30,0.2,115.54666666666667,33.09999999999999,0.26763440822639023,516.3299999999999,1.9959892829259236
openai,gpt-4.1,bandpass_response,final,resonance_hz,30,0.1,57.78333333333334,26.55000000000001,0.19242253205920437,222.94499999999968,1.9959892829259236
openai,gpt-4.1,bode_magnitude,checkpoint,cp_mag_at_fc_db,30,1.0,0.0,0.0,0.0,0.0,1.507661557197571
openai,gpt-4.1,bode_magnitude,checkpoint,cp_slope_db_per_decade,30,0.7666666666666667,9.333333333333334,0.0,0.4666666666666667,40.0,1.507661557197571
openai,gpt-4.1,bode_magnitude,final,cutoff_hz,30,0.8333333333333334,20.333333333333332,0.0,0.11466666666666667,115.0,1.507661557197571
openai,gpt-4.1,bode_magnitude,final,dc_gain_db,30,1.0,0.0,0.0,0.0,0.0,1.507661557197571
openai,gpt-4.1,bode_phase,checkpoint,cp_phase_deg_at_fc,30,1.0,0.0,0.0,0.0,0.0,1.5398916641871134
openai,gpt-4.1,bode_phase,final,cutoff_hz,30,0.5666666666666667,39.2,1.0,0.33666666666666667,115.0,1.5398916641871134
openai,gpt-4.1,bode_phase,final,phase_deg_at_fq,30,0.5666666666666667,5.766666666666667,2.0,0.20166666666666666,23.249999999999957,1.5398916641871134
openai,gpt-4.1,constellation,final,avg_radius,30,0.0,1.2763333333333333,1.29,0.9052009456264775,1.3299999999999998,1.2150812943776448
openai,gpt-4.1,constellation,final,num_clusters,30,1.0,0.0,0.0,0.0,0.0,1.2150812943776448
openai,gpt-4.1,fft_spectrum,checkpoint,cp_peak_ratio,30,0.03333333333333333,1.2142857142857142,1.0,0.5,2.3499999999999996,1.3387413422266643
openai,gpt-4.1,fft_spectrum,final,dominant_frequency_hz,30,0.3333333333333333,11.666666666666666,10.0,0.21833333333333332,35.49999999999997,1.3387413422266643
openai,gpt-4.1,fft_spectrum,final,secondary_frequency_hz,30,0.6,8.666666666666666,0.0,0.09125,35.49999999999997,1.3387413422266643
openai,gpt-4.1,iv_diode,final,target_current_a,30,1.0,0.0,0.0,0.0,0.0,1.4402432203292848
openai,gpt-4.1,iv_diode,final,turn_on_voltage_v_at_target_i,30,0.5333333333333333,0.07783333333333332,0.07500000000000007,0.13408924408924408,0.15649999999999983,1.4402432203292848
openai,gpt-4.1,iv_resistor,checkpoint,cp_slope_ohm,30,1.0,0.0,0.0,0.0,0.0,1.2451576868693033
openai,gpt-4.1,iv_resistor,final,resistance_ohm,30,1.0,0.0,0.0,0.0,0.0,1.2451576868693033
openai,gpt-4.1,learning_curve,final,best_val_acc,30,1.0,0.002100000000000002,0.0020000000000000018,0.002527728271979689,0.0040000000000000036,1.116662867863973
openai,gpt-4.1,learning_curve,final,epoch_of_best,30,0.9666666666666667,0.26666666666666666,0.0,0.00928024083196497,1.0,1.116662867863973
openai,gpt-4.1,nyquist_plot,final,imag_at_wc,30,1.0,0.0,0.0,0.0,0.0,1.296199091275533
openai,gpt-4.1,nyquist_plot,final,real_at_w0,30,0.9666666666666667,0.16666666666666666,0.0,0.03333333333333333,0.0,1.296199091275533
openai,gpt-4.1,nyquist_plot,final,real_at_wc,30,1.0,0.0,0.0,0.0,0.0,1.296199091275533
openai,gpt-4.1,pole_zero,final,pole_imag,30,1.0,0.0,0.0,0.0,0.0,1.4723721504211427
openai,gpt-4.1,pole_zero,final,pole_real,30,0.8666666666666667,0.13333333333333333,0.0,0.02888888888888889,1.0,1.4723721504211427
openai,gpt-4.1,pole_zero,final,zero_imag,30,1.0,0.0,0.0,0.0,0.0,1.4723721504211427
openai,gpt-4.1,pole_zero,final,zero_real,30,0.9666666666666667,0.03333333333333333,0.0,0.008333333333333333,0.0,1.4723721504211427
openai,gpt-4.1,roc_curve,checkpoint,cp_auc,30,0.0,,,,,1.44325749874115
openai,gpt-4.1,roc_curve,final,tpr_at_fpr_0p1,30,0.8666666666666667,0.037,0.029999999999999985,0.1574455128205128,0.09749999999999986,1.44325749874115
openai,gpt-4.1,roc_curve,final,tpr_at_fpr_0p2,30,0.9,0.03366666666666666,0.030000000000000013,0.09719988572022231,0.08099999999999992,1.44325749874115
openai,gpt-4.1,spectrogram,checkpoint,cp_duration_s,30,1.0,0.030000000000000027,0.0,0.018750000000000013,0.10000000000000009,1.6536729733149211
openai,gpt-4.1,spectrogram,final,f1_hz,30,0.7666666666666667,4.833333333333333,0.0,0.034629629629629635,20.0,1.6536729733149211
openai,gpt-4.1,spectrogram,final,f2_hz,30,0.6333333333333333,8.0,10.0,0.0863425925925926,20.0,1.6536729733149211
openai,gpt-4.1,spectrogram,final,switch_time_s,30,1.0,0.0,0.0,0.0,0.0,1.6536729733149211
openai,gpt-4.1,step_response,checkpoint,cp_band_lower,30,1.0,0.0,0.0,0.0,0.0,2.35180606842041
openai,gpt-4.1,step_response,checkpoint,cp_band_upper,30,1.0,0.0,0.0,0.0,0.0,2.35180606842041
openai,gpt-4.1,step_response,checkpoint,cp_peak_time_s,30,1.0,0.02833333333333332,0.020000000000000018,0.05123423108388274,0.05999999999999994,2.35180606842041
openai,gpt-4.1,step_response,checkpoint,cp_peak_value,30,1.0,0.005333333333333324,0.009999999999999787,0.004312669498260466,0.010000000000000009,2.35180606842041
openai,gpt-4.1,step_response,final,percent_overshoot,30,1.0,0.6266666666666669,0.6000000000000014,0.048589258161442266,1.0,2.35180606842041
openai,gpt-4.1,step_response,final,settling_time_s,30,0.9666666666666667,0.155,0.09999999999999964,0.11032316704769643,0.41000000000000014,2.35180606842041
openai,gpt-4.1,step_response,final,steady_state,30,1.0,0.0,0.0,0.0,0.0,2.35180606842041
