provider,model,id,type,field,is_checkpoint,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error
openai,gpt-4.1,bandpass_response_004,bandpass_response,resonance_hz,False,200.0,197.8,2.1999999999999886,0.011122345803842207,0.0,0.05,True,4.021790981292725,
openai,gpt-4.1,bandpass_response_004,bandpass_response,bandwidth_hz,False,400.0,24.7,375.3,15.194331983805668,0.0,0.08,False,4.021790981292725,
openai,gpt-4.1,bandpass_response_004,bandpass_response,cp_f1_3db_hz,True,100.0,185.8,85.80000000000001,0.46178686759956944,0.0,0.08,False,4.021790981292725,
openai,gpt-4.1,bandpass_response_004,bandpass_response,cp_f2_3db_hz,True,500.0,210.5,289.5,1.3752969121140142,0.0,0.08,False,4.021790981292725,
openai,gpt-4.1,bandpass_response_004,bandpass_response,cp_q_factor,True,0.5,8.0,7.5,0.9375,0.25,0.12,False,4.021790981292725,
openai,gpt-4.1,bandpass_response_000,bandpass_response,resonance_hz,False,200.0,154.1,45.900000000000006,0.2978585334198573,0.0,0.05,False,4.029259920120239,
openai,gpt-4.1,bandpass_response_000,bandpass_response,bandwidth_hz,False,400.0,19.3,380.7,19.72538860103627,0.0,0.08,False,4.029259920120239,
openai,gpt-4.1,bandpass_response_000,bandpass_response,cp_f1_3db_hz,True,100.0,144.8,44.80000000000001,0.3093922651933702,0.0,0.08,False,4.029259920120239,
openai,gpt-4.1,bandpass_response_000,bandpass_response,cp_f2_3db_hz,True,500.0,164.0,336.0,2.048780487804878,0.0,0.08,False,4.029259920120239,
openai,gpt-4.1,bandpass_response_000,bandpass_response,cp_q_factor,True,0.5,8.0,7.5,0.9375,0.25,0.12,False,4.029259920120239,
openai,gpt-4.1,bandpass_response_009,bandpass_response,resonance_hz,False,15.0,14.4,0.5999999999999996,0.041666666666666644,0.0,0.05,True,4.027606010437012,
openai,gpt-4.1,bandpass_response_009,bandpass_response,bandwidth_hz,False,10.0,4.8,5.2,1.0833333333333335,0.0,0.08,False,4.027606010437012,
openai,gpt-4.1,bandpass_response_009,bandpass_response,cp_f1_3db_hz,True,11.0,12.2,1.1999999999999993,0.09836065573770486,0.0,0.08,False,4.027606010437012,
openai,gpt-4.1,bandpass_response_009,bandpass_response,cp_f2_3db_hz,True,21.0,17.0,4.0,0.23529411764705882,0.0,0.08,False,4.027606010437012,
openai,gpt-4.1,bandpass_response_009,bandpass_response,cp_q_factor,True,1.5,3.0,1.5,0.5,0.25,0.12,False,4.027606010437012,
openai,gpt-4.1,bandpass_response_001,bandpass_response,resonance_hz,False,50.0,48.5,1.5,0.030927835051546393,0.0,0.05,True,4.03571629524231,
openai,gpt-4.1,bandpass_response_001,bandpass_response,bandwidth_hz,False,30.0,24.2,5.800000000000001,0.23966942148760334,0.0,0.08,False,4.03571629524231,
openai,gpt-4.1,bandpass_response_001,bandpass_response,cp_f1_3db_hz,True,35.0,37.9,2.8999999999999986,0.07651715039577833,0.0,0.08,True,4.03571629524231,
openai,gpt-4.1,bandpass_response_001,bandpass_response,cp_f2_3db_hz,True,65.0,62.1,2.8999999999999986,0.046698872785829286,0.0,0.08,True,4.03571629524231,
openai,gpt-4.1,bandpass_response_001,bandpass_response,cp_q_factor,True,1.7,2.0,0.30000000000000004,0.15000000000000002,0.25,0.12,False,4.03571629524231,
openai,gpt-4.1,bandpass_response_006,bandpass_response,resonance_hz,False,10.0,16.1,6.100000000000001,0.3788819875776398,0.0,0.05,False,4.037033796310425,
openai,gpt-4.1,bandpass_response_006,bandpass_response,bandwidth_hz,False,18.0,2.0,16.0,8.0,0.0,0.08,False,4.037033796310425,
openai,gpt-4.1,bandpass_response_006,bandpass_response,cp_f1_3db_hz,True,6.0,15.1,9.1,0.6026490066225165,0.0,0.08,False,4.037033796310425,
openai,gpt-4.1,bandpass_response_006,bandpass_response,cp_f2_3db_hz,True,24.0,17.1,6.899999999999999,0.40350877192982443,0.0,0.08,False,4.037033796310425,
openai,gpt-4.1,bandpass_response_006,bandpass_response,cp_q_factor,True,0.56,8.0,7.4399999999999995,0.9299999999999999,0.25,0.12,False,4.037033796310425,
openai,gpt-4.1,bandpass_response_003,bandpass_response,resonance_hz,False,1000.0,1286.6,286.5999999999999,0.22275765583708995,0.0,0.05,False,4.038299083709717,
openai,gpt-4.1,bandpass_response_003,bandpass_response,bandwidth_hz,False,820.0,128.7,691.3,5.371406371406372,0.0,0.08,False,4.038299083709717,
openai,gpt-4.1,bandpass_response_003,bandpass_response,cp_f1_3db_hz,True,615.0,1223.9,608.9000000000001,0.4975079663371191,0.0,0.08,False,4.038299083709717,
openai,gpt-4.1,bandpass_response_003,bandpass_response,cp_f2_3db_hz,True,1435.0,1352.5,82.5,0.06099815157116451,0.0,0.08,True,4.038299083709717,
