provider,model,id,type,field,is_checkpoint,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error
openai,gpt-4o,bandpass_response_001,bandpass_response,resonance_hz,False,100.0,48.5,51.5,1.0618556701030928,0.0,0.05,False,3.915924072265625,
openai,gpt-4o,bandpass_response_001,bandpass_response,bandwidth_hz,False,20.0,24.2,4.199999999999999,0.17355371900826444,0.0,0.08,False,3.915924072265625,
openai,gpt-4o,bandpass_response_001,bandpass_response,cp_f1_3db_hz,True,90.0,37.9,52.1,1.37467018469657,0.0,0.08,False,3.915924072265625,
openai,gpt-4o,bandpass_response_001,bandpass_response,cp_f2_3db_hz,True,110.0,62.1,47.9,0.7713365539452496,0.0,0.08,False,3.915924072265625,
openai,gpt-4o,bandpass_response_001,bandpass_response,cp_q_factor,True,5.0,2.0,3.0,1.5,0.25,0.12,False,3.915924072265625,
openai,gpt-4o,bandpass_response_007,bandpass_response,resonance_hz,False,1000.0,577.6,422.4,0.7313019390581716,0.0,0.05,False,3.916546106338501,
openai,gpt-4o,bandpass_response_007,bandpass_response,bandwidth_hz,False,615.0,288.8,326.2,1.1295013850415512,0.0,0.08,False,3.916546106338501,
openai,gpt-4o,bandpass_response_007,bandpass_response,cp_f1_3db_hz,True,700.0,451.0,249.0,0.5521064301552107,0.0,0.08,False,3.916546106338501,
openai,gpt-4o,bandpass_response_007,bandpass_response,cp_f2_3db_hz,True,1315.0,739.8,575.2,0.7775074344417411,0.0,0.08,False,3.916546106338501,
openai,gpt-4o,bandpass_response_007,bandpass_response,cp_q_factor,True,1.626,2.0,0.3740000000000001,0.18700000000000006,0.25,0.12,False,3.916546106338501,
openai,gpt-4o,bandpass_response_000,bandpass_response,resonance_hz,False,100.0,154.1,54.099999999999994,0.3510707332900714,0.0,0.05,False,3.9284520149230957,
openai,gpt-4o,bandpass_response_000,bandpass_response,bandwidth_hz,False,20.0,19.3,0.6999999999999993,0.036269430051813434,0.0,0.08,True,3.9284520149230957,
openai,gpt-4o,bandpass_response_000,bandpass_response,cp_f1_3db_hz,True,90.0,144.8,54.80000000000001,0.3784530386740332,0.0,0.08,False,3.9284520149230957,
openai,gpt-4o,bandpass_response_000,bandpass_response,cp_f2_3db_hz,True,110.0,164.0,54.0,0.32926829268292684,0.0,0.08,False,3.9284520149230957,
openai,gpt-4o,bandpass_response_000,bandpass_response,cp_q_factor,True,5.0,8.0,3.0,0.375,0.25,0.12,False,3.9284520149230957,
openai,gpt-4o,bandpass_response_006,bandpass_response,resonance_hz,False,10.0,16.1,6.100000000000001,0.3788819875776398,0.0,0.05,False,4.050215005874634,
openai,gpt-4o,bandpass_response_006,bandpass_response,bandwidth_hz,False,2.0,2.0,0.0,0.0,0.0,0.08,True,4.050215005874634,
openai,gpt-4o,bandpass_response_006,bandpass_response,cp_f1_3db_hz,True,9.0,15.1,6.1,0.40397350993377484,0.0,0.08,False,4.050215005874634,
openai,gpt-4o,bandpass_response_006,bandpass_response,cp_f2_3db_hz,True,11.0,17.1,6.100000000000001,0.35672514619883045,0.0,0.08,False,4.050215005874634,
openai,gpt-4o,bandpass_response_006,bandpass_response,cp_q_factor,True,5.0,8.0,3.0,0.375,0.25,0.12,False,4.050215005874634,
openai,gpt-4o,bandpass_response_004,bandpass_response,resonance_hz,False,100.0,197.8,97.80000000000001,0.4944388270980789,0.0,0.05,False,4.079646825790405,
openai,gpt-4o,bandpass_response_004,bandpass_response,bandwidth_hz,False,20.0,24.7,4.699999999999999,0.19028340080971656,0.0,0.08,False,4.079646825790405,
openai,gpt-4o,bandpass_response_004,bandpass_response,cp_f1_3db_hz,True,90.0,185.8,95.80000000000001,0.5156081808396125,0.0,0.08,False,4.079646825790405,
