provider,model,type,scope,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
openai,gpt-4o,bandpass_response,checkpoint,cp_f1_3db_hz,30,0.06666666666666667,159.85,54.50000000000001,0.7474228009199891,479.6349999999998,3.008986783027649
openai,gpt-4o,bandpass_response,checkpoint,cp_f2_3db_hz,30,0.0,293.18666666666667,135.25,0.864406352997327,804.5749999999998,3.008986783027649
openai,gpt-4o,bandpass_response,checkpoint,cp_q_factor,30,0.13333333333333333,2.2685666666666666,2.0,0.48836305555555554,5.3085499999999985,3.008986783027649
openai,gpt-4o,bandpass_response,final,bandwidth_hz,30,0.1,135.58666666666667,56.50000000000001,1.6585408676550801,373.21,3.008986783027649
openai,gpt-4o,bandpass_response,final,resonance_hz,30,0.03333333333333333,212.79,80.60000000000001,0.8039841152432781,586.4699999999999,3.008986783027649
openai,gpt-4o,bode_magnitude,checkpoint,cp_mag_at_fc_db,30,1.0,0.0,0.0,0.0,0.0,2.0256600459416707
openai,gpt-4o,bode_magnitude,checkpoint,cp_slope_db_per_decade,30,1.0,0.0,0.0,0.0,0.0,2.0256600459416707
openai,gpt-4o,bode_magnitude,final,cutoff_hz,30,0.3333333333333333,111.66666666666667,50.0,0.6333333333333333,500.0,2.0256600459416707
openai,gpt-4o,bode_magnitude,final,dc_gain_db,30,1.0,0.0,0.0,0.0,0.0,2.0256600459416707
openai,gpt-4o,bode_phase,checkpoint,cp_phase_deg_at_fc,30,1.0,0.0,0.0,0.0,0.0,1.8223443190256754
openai,gpt-4o,bode_phase,final,cutoff_hz,30,0.36666666666666664,141.33333333333334,10.0,0.8366666666666667,500.0,1.8223443190256754
openai,gpt-4o,bode_phase,final,phase_deg_at_fq,30,0.2,14.8,15.0,0.5784444444444444,30.0,1.8223443190256754
openai,gpt-4o,fft_spectrum,checkpoint,cp_peak_ratio,30,0.0,2.4777766666666663,2.0,0.7963886666666667,4.4249849999999995,1.8043809096018473
openai,gpt-4o,fft_spectrum,final,dominant_frequency_hz,30,0.16666666666666666,36.833333333333336,20.0,0.6169444444444444,90.99999999999994,1.8043809096018473
openai,gpt-4o,fft_spectrum,final,secondary_frequency_hz,30,0.3333333333333333,46.5,20.0,0.2821296296296296,154.99999999999972,1.8043809096018473
openai,gpt-4o,iv_diode,final,target_current_a,30,1.0,0.0,0.0,0.0,0.0,1.6886563142140707
openai,gpt-4o,iv_diode,final,turn_on_voltage_v_at_target_i,30,0.5333333333333333,0.07499999999999997,0.050000000000000044,0.12926240426240423,0.1774999999999998,1.6886563142140707
openai,gpt-4o,iv_resistor,checkpoint,cp_slope_ohm,30,1.0,0.0,0.0,0.0,0.0,1.7289408286412558
openai,gpt-4o,iv_resistor,final,resistance_ohm,30,1.0,0.0,0.0,0.0,0.0,1.7289408286412558
openai,gpt-4o,pole_zero,final,pole_imag,30,0.6666666666666666,0.6,0.0,0.4083333333333333,3.0,2.124259845415751
openai,gpt-4o,pole_zero,final,pole_real,30,0.3,1.3666666666666667,1.0,0.5422222222222222,3.0,2.124259845415751
openai,gpt-4o,pole_zero,final,zero_imag,30,0.7,0.4666666666666667,0.0,0.2722222222222222,2.549999999999997,2.124259845415751
openai,gpt-4o,pole_zero,final,zero_real,30,0.4,1.0666666666666667,1.0,0.5769444444444445,3.0,2.124259845415751
openai,gpt-4o,pump_curve,checkpoint,cp_qmax_m3h,30,1.0,1.0421356237309507,0.5025253169416715,0.017576352967169463,2.2182540694797694,2.1713452259699504
openai,gpt-4o,pump_curve,checkpoint,cp_shutoff_head_m,30,1.0,0.13333333333333333,0.0,0.0019047619047619048,1.0999999999999943,2.1713452259699504
openai,gpt-4o,pump_curve,final,head_at_qop_m,30,1.0,0.6899999999999998,0.6000000000000014,0.013940911025540837,1.155000000000002,2.1713452259699504
openai,gpt-4o,pump_curve,final,q_at_half_head_m3h,30,0.0,19.333333333333332,20.0,0.5095501720501721,30.49999999999997,2.1713452259699504
openai,gpt-4o,sn_curve,checkpoint,cp_stress_at_1e3_mpa,30,1.0,0.0,0.0,0.0,0.0,1.9837988535563151
openai,gpt-4o,sn_curve,final,endurance_limit_mpa,30,0.7666666666666667,19.166666666666668,25.0,0.08397306397306398,50.0,1.9837988535563151
openai,gpt-4o,sn_curve,final,stress_at_1e5_mpa,30,0.3333333333333333,41.266666666666666,43.5,0.13306958777356023,70.49999999999997,1.9837988535563151
openai,gpt-4o,spectrogram,checkpoint,cp_duration_s,30,0.3333333333333333,0.42,0.0,0.21666666666666667,1.5,1.9931751887003581
openai,gpt-4o,spectrogram,final,f1_hz,30,0.26666666666666666,50.0,45.0,0.4852777777777778,127.49999999999986,1.9931751887003581
openai,gpt-4o,spectrogram,final,f2_hz,30,0.16666666666666666,72.0,50.0,0.7177777777777778,225.99999999999966,1.9931751887003581
openai,gpt-4o,spectrogram,final,switch_time_s,30,1.0,0.001666666666666668,0.0,0.002083333333333335,0.0,1.9931751887003581
openai,gpt-4o,step_response,checkpoint,cp_band_lower,30,1.0,0.0,0.0,0.0,0.0,2.796647795041402
openai,gpt-4o,step_response,checkpoint,cp_band_upper,30,1.0,0.0,0.0,0.0,0.0,2.796647795041402
openai,gpt-4o,step_response,checkpoint,cp_peak_time_s,30,0.8,0.09533333333333333,0.06,0.16190755323088313,0.2,2.796647795041402
openai,gpt-4o,step_response,checkpoint,cp_peak_value,30,1.0,0.04466666666666668,0.050000000000000044,0.033970799942876176,0.07000000000000006,2.796647795041402
openai,gpt-4o,step_response,final,percent_overshoot,30,0.23333333333333334,4.786666666666667,5.600000000000001,0.22425299568693272,7.600000000000001,2.796647795041402
openai,gpt-4o,step_response,final,settling_time_s,30,0.5,0.3570000000000001,0.3500000000000001,0.2355987684427224,0.8154999999999996,2.796647795041402
openai,gpt-4o,step_response,final,steady_state,30,1.0,0.0,0.0,0.0,0.0,2.796647795041402
openai,gpt-4o,stress_strain,checkpoint,cp_uts_strain,30,0.8666666666666667,0.007666666666666666,0.0,0.07444444444444445,0.020000000000000004,2.425793441136678
openai,gpt-4o,stress_strain,checkpoint,cp_yield_strain,30,0.0,0.018783333333333332,0.01825,11.501587301587302,0.03508749999999992,2.425793441136678
openai,gpt-4o,stress_strain,final,fracture_strain,30,0.8333333333333334,0.004333333333333334,0.0,0.01866666666666667,0.03,2.425793441136678
openai,gpt-4o,stress_strain,final,uts_mpa,30,0.9333333333333333,5.833333333333333,0.0,0.012496336996336998,27.749999999999986,2.425793441136678
openai,gpt-4o,stress_strain,final,yield_strength_mpa,30,0.8333333333333334,8.333333333333334,0.0,0.023597883597883597,50.0,2.425793441136678
openai,gpt-4o,time_waveform,checkpoint,cp_duty,11,0.09090909090909091,0.20363636363636364,0.25,0.4242424242424242,0.25,2.36226563020186
openai,gpt-4o,time_waveform,checkpoint,cp_period_s,30,0.7666666666666667,0.021233333333333333,0.002,0.35027777777777774,0.13699999999999962,2.3050588846206663
openai,gpt-4o,time_waveform,checkpoint,cp_vmax_v,30,1.0,0.0,0.0,0.0,0.0,2.3050588846206663
openai,gpt-4o,time_waveform,checkpoint,cp_vmin_v,30,1.0,0.0,0.0,0.0,0.0,2.3050588846206663
openai,gpt-4o,time_waveform,final,frequency_hz,30,0.43333333333333335,39.0,6.25,0.45888888888888885,40.99999999999994,2.3050588846206663
openai,gpt-4o,time_waveform,final,vpp_v,30,1.0,0.0,0.0,0.0,0.0,2.3050588846206663
openai,gpt-4o,torque_speed,checkpoint,cp_torque_at_speed_q_nm,30,0.5666666666666667,0.6635569985569986,0.5,0.2798581392152821,1.3449999999999998,1.8594045162200927
openai,gpt-4o,torque_speed,final,no_load_speed_rpm,30,0.6666666666666666,82.5,0.0,0.049263468013468016,200.0,1.8594045162200927
openai,gpt-4o,torque_speed,final,stall_torque_nm,30,0.9,0.31666666666666665,0.0,0.04206349206349206,1.0,1.8594045162200927
openai,gpt-4o,transfer_characteristic,checkpoint,cp_vin_at_saturation,30,0.4,0.24966666666666665,0.2,0.24339399294094466,0.5934999999999995,1.8981727759043376
openai,gpt-4o,transfer_characteristic,final,saturation_v,30,1.0,0.13333333333333333,0.0,0.02666666666666667,0.5,1.8981727759043376
openai,gpt-4o,transfer_characteristic,final,small_signal_gain,30,0.36666666666666664,1.0333333333333334,0.75,0.19333333333333333,4.0,1.8981727759043376
