provider,model,type,scope,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
anthropic,claude-sonnet-4-5-20250929,bandpass_response,checkpoint,cp_f1_3db_hz,30,0.16666666666666666,58.825,14.2,0.2239549906163296,160.07999999999996,8.158811299006144
anthropic,claude-sonnet-4-5-20250929,bandpass_response,checkpoint,cp_f2_3db_hz,30,0.06666666666666667,95.2357142857143,30.75,0.39337030284552926,354.385,8.158811299006144
anthropic,claude-sonnet-4-5-20250929,bandpass_response,checkpoint,cp_q_factor,30,0.0,3.7417857142857143,2.965,0.618438988095238,8.4355,8.158811299006144
anthropic,claude-sonnet-4-5-20250929,bandpass_response,final,bandwidth_hz,30,0.03333333333333333,136.525,33.4,3.5307618504749487,522.0899999999998,8.158811299006144
anthropic,claude-sonnet-4-5-20250929,bandpass_response,final,resonance_hz,30,0.2,47.26428571428572,19.10000000000001,0.14436735079981095,164.74999999999994,8.158811299006144
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,checkpoint,cp_mag_at_fc_db,30,1.0,0.0,0.0,0.0,0.0,5.800798551241557
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,checkpoint,cp_slope_db_per_decade,30,1.0,0.0,0.0,0.0,0.0,5.800798551241557
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,final,cutoff_hz,30,0.4,31.433333333333334,20.0,0.4805,100.0,5.800798551241557
anthropic,claude-sonnet-4-5-20250929,bode_magnitude,final,dc_gain_db,30,1.0,0.0,0.0,0.0,0.0,5.800798551241557
anthropic,claude-sonnet-4-5-20250929,bode_phase,checkpoint,cp_phase_deg_at_fc,30,0.9,1.6896551724137931,0.0,0.037547892720306515,10.799999999999962,4.916820398966471
anthropic,claude-sonnet-4-5-20250929,bode_phase,final,cutoff_hz,30,0.4666666666666667,45.689655172413794,10.0,0.33703448275862063,200.0,4.916820398966471
anthropic,claude-sonnet-4-5-20250929,bode_phase,final,phase_deg_at_fq,30,0.23333333333333334,17.56896551724138,15.0,0.6722222222222222,36.79999999999998,4.916820398966471
anthropic,claude-sonnet-4-5-20250929,fft_spectrum,checkpoint,cp_peak_ratio,30,0.03333333333333333,0.75,1.0,0.375,1.0,4.023255570729574
anthropic,claude-sonnet-4-5-20250929,fft_spectrum,final,dominant_frequency_hz,30,0.36666666666666664,10.666666666666666,10.0,0.2347222222222222,27.749999999999986,4.023255570729574
anthropic,claude-sonnet-4-5-20250929,fft_spectrum,final,secondary_frequency_hz,30,0.7,7.166666666666667,0.0,0.07749999999999999,30.0,4.023255570729574
