provider,model,id,type,field,is_checkpoint,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error
openai,gpt-4o,bandpass_response_005,bandpass_response,resonance_hz,False,10.0,25.0,15.0,0.6,0.0,0.05,False,4.9756388664245605,
openai,gpt-4o,bandpass_response_005,bandpass_response,bandwidth_hz,False,4.0,2.5,1.5,0.6,0.0,0.08,False,4.9756388664245605,
openai,gpt-4o,bandpass_response_005,bandpass_response,cp_f1_3db_hz,True,8.0,23.8,15.8,0.6638655462184874,0.0,0.08,False,4.9756388664245605,
openai,gpt-4o,bandpass_response_005,bandpass_response,cp_f2_3db_hz,True,12.0,26.3,14.3,0.5437262357414449,0.0,0.08,False,4.9756388664245605,
openai,gpt-4o,bandpass_response_005,bandpass_response,cp_q_factor,True,2.5,10.0,7.5,0.75,0.25,0.12,False,4.9756388664245605,
openai,gpt-4o,bandpass_response_006,bandpass_response,resonance_hz,False,10.0,16.1,6.100000000000001,0.3788819875776398,0.0,0.05,False,5.013814926147461,
openai,gpt-4o,bandpass_response_006,bandpass_response,bandwidth_hz,False,10.0,2.0,8.0,4.0,0.0,0.08,False,5.013814926147461,
openai,gpt-4o,bandpass_response_006,bandpass_response,cp_f1_3db_hz,True,5.0,15.1,10.1,0.6688741721854304,0.0,0.08,False,5.013814926147461,
openai,gpt-4o,bandpass_response_006,bandpass_response,cp_f2_3db_hz,True,15.0,17.1,2.1000000000000014,0.12280701754385973,0.0,0.08,False,5.013814926147461,
openai,gpt-4o,bandpass_response_006,bandpass_response,cp_q_factor,True,1.0,8.0,7.0,0.875,0.25,0.12,False,5.013814926147461,
openai,gpt-4o,bandpass_response_001,bandpass_response,resonance_hz,False,100.0,48.5,51.5,1.0618556701030928,0.0,0.05,False,5.079829931259155,
openai,gpt-4o,bandpass_response_001,bandpass_response,bandwidth_hz,False,30.0,24.2,5.800000000000001,0.23966942148760334,0.0,0.08,False,5.079829931259155,
openai,gpt-4o,bandpass_response_001,bandpass_response,cp_f1_3db_hz,True,85.0,37.9,47.1,1.2427440633245384,0.0,0.08,False,5.079829931259155,
openai,gpt-4o,bandpass_response_001,bandpass_response,cp_f2_3db_hz,True,115.0,62.1,52.9,0.8518518518518519,0.0,0.08,False,5.079829931259155,
openai,gpt-4o,bandpass_response_001,bandpass_response,cp_q_factor,True,3.33,2.0,1.33,0.665,0.25,0.12,False,5.079829931259155,
openai,gpt-4o,bandpass_response_008,bandpass_response,resonance_hz,False,615.0,238.1,376.9,1.5829483410331793,0.0,0.05,False,5.160179853439331,
openai,gpt-4o,bandpass_response_008,bandpass_response,bandwidth_hz,False,410.0,47.6,362.4,7.61344537815126,0.0,0.08,False,5.160179853439331,
openai,gpt-4o,bandpass_response_008,bandpass_response,cp_f1_3db_hz,True,410.0,215.5,194.5,0.9025522041763341,0.0,0.08,False,5.160179853439331,
openai,gpt-4o,bandpass_response_008,bandpass_response,cp_f2_3db_hz,True,820.0,263.1,556.9,2.1166856708475863,0.0,0.08,False,5.160179853439331,
openai,gpt-4o,bandpass_response_008,bandpass_response,cp_q_factor,True,1.5,5.0,3.5,0.7,0.25,0.12,False,5.160179853439331,
openai,gpt-4o,bandpass_response_000,bandpass_response,resonance_hz,False,100.0,154.1,54.099999999999994,0.3510707332900714,0.0,0.05,False,5.175845146179199,
openai,gpt-4o,bandpass_response_000,bandpass_response,bandwidth_hz,False,90.0,19.3,70.7,3.6632124352331608,0.0,0.08,False,5.175845146179199,
openai,gpt-4o,bandpass_response_000,bandpass_response,cp_f1_3db_hz,True,55.0,144.8,89.80000000000001,0.6201657458563536,0.0,0.08,False,5.175845146179199,
openai,gpt-4o,bandpass_response_000,bandpass_response,cp_f2_3db_hz,True,145.0,164.0,19.0,0.11585365853658537,0.0,0.08,False,5.175845146179199,
openai,gpt-4o,bandpass_response_000,bandpass_response,cp_q_factor,True,1.111,8.0,6.889,0.861125,0.25,0.12,False,5.175845146179199,
openai,gpt-4o,bandpass_response_004,bandpass_response,resonance_hz,False,100.0,197.8,97.80000000000001,0.4944388270980789,0.0,0.05,False,5.267871141433716,
openai,gpt-4o,bandpass_response_004,bandpass_response,bandwidth_hz,False,20.0,24.7,4.699999999999999,0.19028340080971656,0.0,0.08,False,5.267871141433716,
openai,gpt-4o,bandpass_response_004,bandpass_response,cp_f1_3db_hz,True,90.0,185.8,95.80000000000001,0.5156081808396125,0.0,0.08,False,5.267871141433716,
openai,gpt-4o,bandpass_response_004,bandpass_response,cp_f2_3db_hz,True,110.0,210.5,100.5,0.47743467933491684,0.0,0.08,False,5.267871141433716,
openai,gpt-4o,bandpass_response_004,bandpass_response,cp_q_factor,True,5.0,8.0,3.0,0.375,0.25,0.12,False,5.267871141433716,
openai,gpt-4o,bandpass_response_007,bandpass_response,resonance_hz,False,1000.0,577.6,422.4,0.7313019390581716,0.0,0.05,False,5.333307981491089,
openai,gpt-4o,bandpass_response_007,bandpass_response,bandwidth_hz,False,800.0,288.8,511.2,1.7700831024930748,0.0,0.08,False,5.333307981491089,
openai,gpt-4o,bandpass_response_007,bandpass_response,cp_f1_3db_hz,True,600.0,451.0,149.0,0.3303769401330377,0.0,0.08,False,5.333307981491089,
openai,gpt-4o,bandpass_response_007,bandpass_response,cp_f2_3db_hz,True,1400.0,739.8,660.2,0.892403352257367,0.0,0.08,False,5.333307981491089,
openai,gpt-4o,bandpass_response_007,bandpass_response,cp_q_factor,True,1.25,2.0,0.75,0.375,0.25,0.12,False,5.333307981491089,
openai,gpt-4o,bandpass_response_002,bandpass_response,resonance_hz,False,100.0,68.3,31.700000000000003,0.4641288433382138,0.0,0.05,False,5.33919620513916,
openai,gpt-4o,bandpass_response_002,bandpass_response,bandwidth_hz,False,20.0,8.5,11.5,1.3529411764705883,0.0,0.08,False,5.33919620513916,
openai,gpt-4o,bandpass_response_002,bandpass_response,cp_f1_3db_hz,True,90.0,64.2,25.799999999999997,0.4018691588785046,0.0,0.08,False,5.33919620513916,
openai,gpt-4o,bandpass_response_002,bandpass_response,cp_f2_3db_hz,True,110.0,72.7,37.3,0.5130674002751031,0.0,0.08,False,5.33919620513916,
openai,gpt-4o,bandpass_response_002,bandpass_response,cp_q_factor,True,5.0,8.0,3.0,0.375,0.25,0.12,False,5.33919620513916,
openai,gpt-4o,bandpass_response_009,bandpass_response,resonance_hz,False,10.0,14.4,4.4,0.3055555555555556,0.0,0.05,False,5.468094348907471,
openai,gpt-4o,bandpass_response_009,bandpass_response,bandwidth_hz,False,2.0,4.8,2.8,0.5833333333333334,0.0,0.08,False,5.468094348907471,
openai,gpt-4o,bandpass_response_009,bandpass_response,cp_f1_3db_hz,True,9.0,12.2,3.1999999999999993,0.2622950819672131,0.0,0.08,False,5.468094348907471,
openai,gpt-4o,bandpass_response_009,bandpass_response,cp_f2_3db_hz,True,11.0,17.0,6.0,0.35294117647058826,0.0,0.08,False,5.468094348907471,
openai,gpt-4o,bandpass_response_009,bandpass_response,cp_q_factor,True,5.0,3.0,2.0,0.6666666666666666,0.25,0.12,False,5.468094348907471,
openai,gpt-4o,bandpass_response_003,bandpass_response,resonance_hz,False,1000.0,1286.6,286.5999999999999,0.22275765583708995,0.0,0.05,False,6.541966199874878,
openai,gpt-4o,bandpass_response_003,bandpass_response,bandwidth_hz,False,205.0,128.7,76.30000000000001,0.592851592851593,0.0,0.08,False,6.541966199874878,
openai,gpt-4o,bandpass_response_003,bandpass_response,cp_f1_3db_hz,True,897.5,1223.9,326.4000000000001,0.26668845493912907,0.0,0.08,False,6.541966199874878,
openai,gpt-4o,bandpass_response_003,bandpass_response,cp_f2_3db_hz,True,1102.5,1352.5,250.0,0.18484288354898337,0.0,0.08,False,6.541966199874878,
openai,gpt-4o,bandpass_response_003,bandpass_response,cp_q_factor,True,4.88,10.0,5.12,0.512,0.25,0.12,False,6.541966199874878,
openai,gpt-4o,bandpass_response_010,bandpass_response,resonance_hz,False,1000.0,434.8,565.2,1.299908003679853,0.0,0.05,False,2.23775577545166,
openai,gpt-4o,bandpass_response_010,bandpass_response,bandwidth_hz,False,500.0,87.0,413.0,4.747126436781609,0.0,0.08,False,2.23775577545166,
openai,gpt-4o,bandpass_response_010,bandpass_response,cp_f1_3db_hz,True,750.0,393.5,356.5,0.9059720457433291,0.0,0.08,False,2.23775577545166,
openai,gpt-4o,bandpass_response_010,bandpass_response,cp_f2_3db_hz,True,1250.0,480.4,769.6,1.601998334721066,0.0,0.08,False,2.23775577545166,
openai,gpt-4o,bandpass_response_010,bandpass_response,cp_q_factor,True,2.0,5.0,3.0,0.6,0.25,0.12,False,2.23775577545166,
openai,gpt-4o,bandpass_response_013,bandpass_response,resonance_hz,False,1000.0,868.4,131.60000000000002,0.15154306771073242,0.0,0.05,False,2.124721050262451,
openai,gpt-4o,bandpass_response_013,bandpass_response,bandwidth_hz,False,300.0,289.5,10.5,0.03626943005181347,0.0,0.08,True,2.124721050262451,
openai,gpt-4o,bandpass_response_013,bandpass_response,cp_f1_3db_hz,True,850.0,735.6,114.39999999999998,0.15551930396954863,0.0,0.08,False,2.124721050262451,
openai,gpt-4o,bandpass_response_013,bandpass_response,cp_f2_3db_hz,True,1150.0,1025.1,124.90000000000009,0.12184177153448454,0.0,0.08,False,2.124721050262451,
openai,gpt-4o,bandpass_response_013,bandpass_response,cp_q_factor,True,3.33,3.0,0.33000000000000007,0.11000000000000003,0.25,0.12,True,2.124721050262451,
openai,gpt-4o,bandpass_response_016,bandpass_response,resonance_hz,False,200.0,201.8,1.8000000000000114,0.008919722497522355,0.0,0.05,True,1.9560158252716064,
openai,gpt-4o,bandpass_response_016,bandpass_response,bandwidth_hz,False,250.0,134.5,115.5,0.8587360594795539,0.0,0.08,False,1.9560158252716064,
openai,gpt-4o,bandpass_response_016,bandpass_response,cp_f1_3db_hz,True,100.0,145.4,45.400000000000006,0.312242090784044,0.0,0.08,False,1.9560158252716064,
openai,gpt-4o,bandpass_response_016,bandpass_response,cp_f2_3db_hz,True,350.0,280.0,70.0,0.25,0.0,0.08,False,1.9560158252716064,
openai,gpt-4o,bandpass_response_016,bandpass_response,cp_q_factor,True,0.8,1.5,0.7,0.4666666666666666,0.25,0.12,False,1.9560158252716064,
