provider,model,id,type,field,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error,tags
openai,gpt-4.1,step_00,step_response,percent_overshoot,15.0,14.814645,0.1853549999999995,0.012511605914282757,2.0,0.05,True,2.6267499923706055,,
openai,gpt-4.1,step_00,step_response,settling_time_s,0.75,0.463567,0.286433,0.6178891077233711,0.1,0.05,False,2.6267499923706055,,
openai,gpt-4.1,step_00,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,2.6267499923706055,,
openai,gpt-4.1,step_01,step_response,percent_overshoot,42.0,44.353583,2.3535830000000004,0.053064100819092797,2.0,0.05,False,2.1003100872039795,,
openai,gpt-4.1,step_01,step_response,settling_time_s,2.3,2.591974,0.2919740000000002,0.1126454200543679,0.1,0.05,False,2.1003100872039795,,
openai,gpt-4.1,step_01,step_response,steady_state,1.0,0.989105,0.010894999999999988,0.011015008517801435,0.05,0.02,True,2.1003100872039795,,
openai,gpt-4.1,step_02,step_response,percent_overshoot,2.0,2.165505,0.165505,0.07642790018956318,2.0,0.05,True,1.916269063949585,,
openai,gpt-4.1,step_02,step_response,settling_time_s,1.0,0.638139,0.361861,0.5670567070810592,0.1,0.05,False,1.916269063949585,,
openai,gpt-4.1,step_02,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,1.916269063949585,,
openai,gpt-4.1,step_03,step_response,percent_overshoot,12.0,11.331582,0.6684180000000008,0.058987174076841245,2.0,0.05,True,1.6678690910339355,,
openai,gpt-4.1,step_03,step_response,settling_time_s,1.0,0.544984,0.455016,0.8349162544221481,0.1,0.05,False,1.6678690910339355,,
openai,gpt-4.1,step_03,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,1.6678690910339355,,
openai,gpt-4.1,step_04,step_response,percent_overshoot,3.0,2.973941,0.026059000000000054,0.008762446867641306,2.0,0.05,True,1.6857969760894775,,
openai,gpt-4.1,step_04,step_response,settling_time_s,1.0,0.722906,0.27709399999999995,0.3833057133292571,0.1,0.05,False,1.6857969760894775,,
openai,gpt-4.1,step_04,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.02,True,1.6857969760894775,,
